admin1Name_en,admin1Name_zh,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_zh,admin1AltName2_zh,admin0Name_en,admin0Name_zh,admin0Pcode,date,validOn,validTo
#adm1+name+i_en,#adm1+name+i_zh,#adm1+code+pcode,,#adm1+name+i_en,#adm1+name+i_en,#adm1+name+i_zh,#adm1+name+i_zh,#adm0+name+i_en,#adm0+name+i_zh,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Beijing Municipality,北京市,CN011,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Tianjin Municipality,天津市,CN012,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Hebei Province,河北省,CN013,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Shanxi Province,山西省,CN014,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Inner Mongolia Autonomous Region,内蒙古自治区,CN015,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Liaoning Province,辽宁省,CN021,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Jilin Province,吉林省,CN022,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Heilongjiang Province,黑龙江省,CN023,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Shanghai Municipality,上海市,CN031,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Jiangsu Province,江苏省,CN032,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Zhejiang Province,浙江省,CN033,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Anhui Province,安徽省,CN034,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Fujian Province,福建省,CN035,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Jiangxi Province,江西省,CN036,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Shandong Province,山东省,CN037,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Henan Province,河南省,CN041,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Hubei Province,湖北省,CN042,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Hunan Province,湖南省,CN043,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Guangdong Province,广东省,CN044,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Hainan Province,海南省,CN046,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Chongqing Municipality,重庆市,CN050,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Sichuan Province,四川省,CN051,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Guizhou Province,贵州省,CN052,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Yunnan Province,云南省,CN053,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Tibet Autonomous Region,西藏自治区,CN054,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Shaanxi Province,陕西省,CN061,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Gansu province,甘肃省,CN062,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Qinghai Province,青海省,CN063,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,,,,,,China,中国,CN,2020-09-10,2020-09-10,
Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,,,,,,China,中国,CN,2020-09-10,2020-09-10,
