#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Abidjan,CI0101,,,,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Attiégouakro,CI0201,Attiegouakro,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Yamoussoukro,CI0202,,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Agboville,CI0301,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sikensi,CI0302,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Taabo,CI0303,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tiassalé,CI0304,Tiassale,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Koro,CI0401,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Ouaninou,CI0402,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Touba,CI0403,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Boundiali,CI0501,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kouto,CI0502,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tengrela,CI0503,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Didievi,CI0601,,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Djekanou,CI0602,,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tiébissou,CI0603,Tiebissou,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Toumodi,CI0604,,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Dianra,CI0701,,,,Bere,CI07,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kounahiri,CI0702,,,,Bere,CI07,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Mankono,CI0703,,,,Bere,CI07,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bouna,CI0801,,,,Bounkani,CI08,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Doropo,CI0802,,,,Bounkani,CI08,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Nassian,CI0803,,,,Bounkani,CI08,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Téhini,CI0804,Tehini,,,Bounkani,CI08,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bloléquin,CI0901,Blolequin,,,Cavally,CI09,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guiglo,CI0902,,,,Cavally,CI09,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Taï,CI0903,,,,Cavally,CI09,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Toulepleu,CI0904,,,,Cavally,CI09,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kaniasso,CI1001,,,,Folon,CI10,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Minignan,CI1002,,,,Folon,CI10,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Béoumi,CI1101,Beoumi,,,Gbeke,CI11,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Botro,CI1102,,,,Gbeke,CI11,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bouaké,CI1103,Bouake,,,Gbeke,CI11,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sakassou,CI1104,,,,Gbeke,CI11,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Fresco,CI1201,,,,Gbokle,CI12,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sassandra,CI1202,,,,Gbokle,CI12,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gagnoa,CI1301,,,,Goh,CI13,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Oumé,CI1302,Oume,,,Goh,CI13,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bondoukou,CI1401,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Koun Fao,CI1402,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sandegue,CI1403,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tanda,CI1404,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Transua,CI1405,,,,Gontougo,CI14,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Dabou,CI1501,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Grand-Lahou,CI1502,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Jacqueville,CI1503,,,,Grands Ponts,CI15,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
