#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kinshasa,CD1000,,,,Kinshasa,CD10,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Matadi,CD2001,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Boma,CD2002,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Moanda,CD2003,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Lukula,CD2005,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Tshela,CD2007,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Seke-Banza,CD2009,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Luozi,CD2010,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Songololo,CD2011,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bangu,CD2012,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mbanza-Ngungu,CD2013,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kasangulu,CD2015,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Madimba,CD2017,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Inkisi,CD2018,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kimvula,CD2019,,,,Kongo-Central,CD20,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kenge,CD3102,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Feshi,CD3103,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kahemba,CD3105,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kasongo-Lunda,CD3107,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Popokabaka,CD3108,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bandundu,CD3201,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bagata,CD3202,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kikwit,CD3203,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bulungu,CD3204,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Idiofa,CD3206,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mangai,CD3208,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Dibaya-Lubwe,CD3209,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Gungu,CD3210,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Masi-Manimba,CD3212,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Inongo,CD3302,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kiri,CD3303,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Oshwe,CD3304,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Nioki,CD3305,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kutu,CD3306,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kwamouth,CD3307,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bolobo,CD3308,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Yumbi,CD3310,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mushie,CD3311,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mbandaka,CD4101,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bikoro,CD4102,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Lukolela,CD4103,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bomongo,CD4104,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Makanza,CD4105,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Basankusu,CD4107,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bolomba,CD4108,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Ingende,CD4109,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Gemena,CD4202,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Budjala,CD4203,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kungu,CD4204,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Libenge,CD4205,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Zongo,CD4206,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Gbadolite,CD4301,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mobayi-Mbongo,CD4302,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Yakoma,CD4304,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Businga,CD4305,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bosobolo,CD4306,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Lisala,CD4402,,,,Mongala,CD44,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bumba,CD4404,,,,Mongala,CD44,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
