#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Antioquia,CO05,Antioquia,,,Colombia,CO,2020-01-01,2021-02-11,
Atlántico,CO08,Atlantico,,,Colombia,CO,2020-01-01,2021-02-11,
"Bogotá, D.C.",CO11,"Bogota, D.C.",,,Colombia,CO,2020-01-01,2021-02-11,
Bolívar,CO13,Bolivar,,,Colombia,CO,2020-01-01,2021-02-11,
Boyacá,CO15,Boyaca,,,Colombia,CO,2020-01-01,2021-02-11,
Caldas,CO17,Caldas,,,Colombia,CO,2020-01-01,2021-02-11,
Caquetá,CO18,Caqueta,,,Colombia,CO,2020-01-01,2021-02-11,
Cauca,CO19,Cauca,,,Colombia,CO,2020-01-01,2021-02-11,
Cesar,CO20,Cesar,,,Colombia,CO,2020-01-01,2021-02-11,
Córdoba,CO23,Cordoba,,,Colombia,CO,2020-01-01,2021-02-11,
Cundinamarca,CO25,Cundinamarca,,,Colombia,CO,2020-01-01,2021-02-11,
Chocó,CO27,Choco,,,Colombia,CO,2020-01-01,2021-02-11,
Huila,CO41,Huila,,,Colombia,CO,2020-01-01,2021-02-11,
La Guajira,CO44,La Guajira,,,Colombia,CO,2020-01-01,2021-02-11,
Magdalena,CO47,Magdalena,,,Colombia,CO,2020-01-01,2021-02-11,
Meta,CO50,Meta,,,Colombia,CO,2020-01-01,2021-02-11,
Nariño,CO52,Narino,,,Colombia,CO,2020-01-01,2021-02-11,
Norte de Santander,CO54,Norte de Santander,,,Colombia,CO,2020-01-01,2021-02-11,
Quindio,CO63,Quindio,,,Colombia,CO,2020-01-01,2021-02-11,
Risaralda,CO66,Risaralda,,,Colombia,CO,2020-01-01,2021-02-11,
Santander,CO68,Santander,,,Colombia,CO,2020-01-01,2021-02-11,
Sucre,CO70,Sucre,,,Colombia,CO,2020-01-01,2021-02-11,
Tolima,CO73,Tolima,,,Colombia,CO,2020-01-01,2021-02-11,
Valle del Cauca,CO76,Valle del Cauca,,,Colombia,CO,2020-01-01,2021-02-11,
Arauca,CO81,Arauca,,,Colombia,CO,2020-01-01,2021-02-11,
Casanare,CO85,Casanare,,,Colombia,CO,2020-01-01,2021-02-11,
Putumayo,CO86,Putumayo,,,Colombia,CO,2020-01-01,2021-02-11,
"Archipiélago de San Andrés, Providencia y Santa Catalina",CO88,"Archipielago de San Andres, Providencia y Santa Catalina",,,Colombia,CO,2020-01-01,2021-02-11,
Amazonas,CO91,Amazonas,,,Colombia,CO,2020-01-01,2021-02-11,
Guainía,CO94,Guainia,,,Colombia,CO,2020-01-01,2021-02-11,
Guaviare,CO95,Guaviare,,,Colombia,CO,2020-01-01,2021-02-11,
Vaupés,CO97,Vaupes,,,Colombia,CO,2020-01-01,2021-02-11,
Vichada,CO99,Vichada,,,Colombia,CO,2020-01-01,2021-02-11,
