admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm3+name+i_en,#adm3+code+pcode,,#adm3+name+i_en,#adm3+name+i_en,#adm2+name+i_en,#adm2+code+pcode,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bambao Mtsanga,KM111,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Domoni,KM112,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Jimlimé,KM113,Jimlime,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Koni,KM114,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Ngandzalé,KM115,Ngandzale,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Adda,KM121,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Chaweni,KM122,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mramani,KM123,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mrémani,KM124,Mremani,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Ongojou,KM125,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Bandrani Ya Chironkamba,KM131,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Bandrani Ya Mtsangani,KM132,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mirontsi,KM133,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mutsamudu,KM134,,,,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Bambao Mtrouni,KM141,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Bazimini,KM142,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Ouani,KM143,,,,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Moya,KM151,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Sima,KM152,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Vouani,KM153,,,,Sima,KM15,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mboinkou,KM211,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nyuma Mro,KM212,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nyuma Msiru,KM213,,,,Hamahamet-Mboinkou,KM21,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Djoumoipangua,KM221,,,,Hambou,KM22,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Tsinimoipangua,KM222,,,,Hambou,KM22,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Bangaani,KM231,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Djoumoichongo,KM232,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Hamanvou,KM233,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Isahari,KM234,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Mbadani,KM235,,,,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Domba,KM241,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Itsahidi,KM242,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Pimba,KM243,,,,Mbadjini Est,KM24,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Ngouengoe,KM251,,,,Mbadjini Ouest,KM25,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nioumagama,KM252,,,,Mbadjini Ouest,KM25,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Cembenoi Lac Salé,KM261,Cembenoi Lac Sale,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Cembenoi Sada Djoulamlima,KM262,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Mitsamiouli,KM263,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nyuma Komo,KM264,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nyumamro Kiblani,KM265,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Nyumamro Souheili,KM266,,,,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Bambao Ya Hari,KM271,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Bambao Ya Mboini,KM272,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Bambao Yadjou,KM273,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Moroni,KM274,,,,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Dimani,KM281,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Oichili Yadjou,KM282,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Oichili Yamboini,KM283,,,,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Cratère du Karthala,KM291,Cratere du Karthala,,,Kartala,KM29,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Djando,KM311,,,,Djando,KM31,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Fomboni,KM321,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Moili Mdjini,KM322,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Moimbassa,KM323,,,,Fomboni,KM32,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Mlédjélé,KM331,Mledjele,,,Nioumachioi,KM33,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Moimbao,KM332,,,,Nioumachioi,KM33,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
