#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Provincia Duarte,DO0101,,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Hermanas Mirabal,DO0102,,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia María Trinidad Sánchez,DO0103,Provincia Maria Trinidad Sanchez,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Samaná,DO0104,Provincia Samana,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Dajabón,DO0201,Provincia Dajabon,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Monte Cristi,DO0202,,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Santiago Rodríguez,DO0203,Provincia Santiago Rodriguez,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Valverde,DO0204,,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Espaillat,DO0301,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Puerto Plata,DO0302,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Santiago,DO0303,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia La Vega,DO0401,,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Monseñor Nouel,DO0402,Provincia Monsenor Nouel,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Sánchez Ramírez,DO0403,Provincia Sanchez Ramirez,,,Región Cibao Sur,DO04,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Elías Piña,DO0501,Provincia Elias Pina,,,Región El Valle,DO05,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia San Juan,DO0502,,,,Región El Valle,DO05,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Baoruco,DO0601,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Barahona,DO0602,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Independencia,DO0603,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Pedernales,DO0604,,,,Región Enriquillo,DO06,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Hato Mayor,DO0701,,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Monte Plata,DO0702,,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia San Pedro de Macorís,DO0703,Provincia San Pedro de Macoris,,,Región Higuamo,DO07,República Dominicana (la),DO,2017-09-06,2021-07-01,
Distrito Nacional,DO0801,,,,Región Ozama,DO08,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Santo Domingo,DO0802,,,,Región Ozama,DO08,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Azua,DO0901,,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia Peravia,DO0902,,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia San Cristóbal,DO0903,Provincia San Cristobal,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia San José de Ocoa,DO0904,Provincia San Jose de Ocoa,,,Región Valdesia,DO09,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia El Seibo,DO1001,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia La Altagracia,DO1002,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
Provincia La Romana,DO1003,,,,Región Yuma,DO10,República Dominicana (la),DO,2017-09-06,2021-07-01,
