#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ar,#adm1+name+alt2+i_ar,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Adrar,أدرا,DZ001,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain-Defla,عين الدفلى,DZ002,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ain-Temouchent,عين تموشنت,DZ003,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Alger,الجزائر,DZ004,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Annaba,عنابة,DZ005,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Batna,باتنة,DZ006,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bechar,بشار,DZ007,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bejaia,بجاية,DZ008,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Biskra,بسكرة,DZ009,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Blida,البليدة,DZ010,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bordj Bou Arrer,برج بوعريريج,DZ011,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bouira,البويرة,DZ012,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Boumerdes,بومرداس,DZ013,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Chlef,الشلف,DZ014,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Constantine,قسنطينة,DZ015,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Djelfa,الجلفة,DZ016,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Bayadh,البيض,DZ017,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El Oued,الوادي,DZ018,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
El-Tarf,الطارف,DZ019,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ghardaia,غرداية,DZ020,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Guelma,قالمة,DZ021,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Illizi,اليزي,DZ022,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Jijel,جيجل,DZ023,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Khenchela,خنشلة,DZ024,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Laghouat,الأغواط,DZ025,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mascara,معسكر,DZ026,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Medea,المدية,DZ027,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mila,ميلة,DZ028,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Mostaganem,مستغانم,DZ029,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
M'Sila,المسيلة,DZ030,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Naama,النعامة,DZ031,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oran,وهران,DZ032,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouargla,ورقلة,DZ033,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Oum El Bouaghi,أم البواقي,DZ034,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Relizane,غليزان,DZ035,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Saida,سعيدة,DZ036,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Setif,سطيف,DZ037,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sidi Bel Abbes,سيدي بلعباس,DZ038,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Skikda,سكيكدة,DZ039,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Souk-Ahras,سوق أهراس,DZ040,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tamanrasset,تمنراست,DZ041,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tebessa,تبسة,DZ042,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tiaret,تيارت,DZ043,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tindouf,تندوف,DZ044,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tipaza,تيبازة,DZ045,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tissemsilt,تسمسيلت,DZ046,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tizi Ouzou,تيزي وزو,DZ047,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tlemcen,تلمسان,DZ048,,,,,,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
