#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Zemam Out,خارج الزمام,EG0100,Zemam Out,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Tibbin,قسم  التبين,EG0101,Al Tibbin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Hilwan,قسم حلوان,EG0102,Hilwan,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
15 Mayu,قسم  15 مايو,EG0103,15 Mayu,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Maadi,قسم المعادي,EG0104,Maadi,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Tura,قسم  طره,EG0105,Tura,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Misr Al-Qadima,مصر القديمة,EG0106,Misr Al-Qadima,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Sayyida Zainab,قسم  السيدة زينب,EG0107,Sayyida Zainab,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Khalifa,قسم  الخليفة,EG0108,Al Khalifa,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Abdin,قسم عابدين,EG0109,Abdin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Muski,قسم الموسكي,EG0110,Muski,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Qasr Al-Nile,قسم  قصر النيل,EG0111,Qasr Al-Nile,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Bulaq,قسم بولاق,EG0112,Bulaq,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Azbakiyya,قسم  الأزبكية,EG0113,Al Azbakiyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Al Darb al-Ahmar,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Gamaliyya,قسم  الجمالية,EG0115,Gamaliyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Bab Al-Shariyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Zahir,قسم  الظاهر,EG0117,Al Zahir,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Sharabiyya,قسم  الشرابية,EG0118,Al Sharabiyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Shubra,قسم شبرا,EG0119,Shubra,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Rud Al-Farag,قسم روض الفرج,EG0120,Rud Al-Farag,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Sahil,قسم الساحل,EG0121,Al Sahil,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Wayli,قسم الوايلي,EG0122,Al Wayli,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Hadaiq Al-Qubba,قسم حدائق القبة,EG0123,Hadaiq Al-Qubba,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Zaytun,قسم الزيتون,EG0124,Al Zaytun,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Matariyya,قسم المطرية,EG0125,Al Matariyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Nasr City,قسم أول مدينة نصر,EG0126,Nasr City,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Madinat Nasr-2,قسم  ثان مدينة نصر,EG0127,Madinat Nasr-2,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Misr al-Gadida,قسم مصر الجديدة,EG0128,Misr al-Gadida,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Nuzha,قسم النزهة,EG0129,Nuzha,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Ain Shams,قسم عين شمس,EG0130,Ain Shams,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Zawiyya Al-Hamra,قسم الزاوية الحمراء,EG0131,Zawiyya Al-Hamra,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Al Salam,قسم السلام,EG0132,Al Salam,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Zamalik,قسم الزمالك,EG0133,Zamalik,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Minshat Nasir,منشأة ناصر,EG0134,Minshat Nasir,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Basatin,قسم  البساتين,EG0135,Basatin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Marg,قسم المرج,EG0136,Marg,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
New Cairo-1,قسم أول القاهرة الجديدة,EG0137,New Cairo-1,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
New Cairo-2,قسم ثان القاهرة الجديدة,EG0138,New Cairo-2,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
New Cairo-3,قسم ثالث القاهرة الجديدة,EG0139,New Cairo-3,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Shroq,قسم الشروق,EG0140,Shroq,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Badr,قسم بدر,EG0141,Badr,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Zemam Out,خارج الزمام,EG0200,Zemam Out,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
Muntazah,قسم  المنتزة,EG0201,Muntazah,,,,,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
