#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
North Western,ET0101,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Central,ET0102,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Eastern,ET0103,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Southern,ET0104,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Western,ET0105,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
South Eastern,ET0106,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Mekelle,ET0107,,,,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Awsi /Zone 1,ET0201,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Kilbati /Zone2,ET0202,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Gabi /Zone 3,ET0203,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Fanti /Zone 4,ET0204,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Hari /Zone 5,ET0205,,,,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
North Gondar,ET0301,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
South Gondar,ET0302,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
North Wello,ET0303,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
South Wello,ET0304,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
North Shewa (AM),ET0305,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
East Gojam,ET0306,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
West Gojam,ET0307,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wag Hamra,ET0308,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Awi,ET0309,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Oromia,ET0310,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Central Gondar,ET0311,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
West Gondar,ET0312,,,,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
West Wellega,ET0401,,,,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
East Wellega,ET0402,,,,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
Ilu Aba Bora,ET0403,,,,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
Jimma,ET0404,,,,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
West Shewa,ET0405,,,,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
