#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Komo,GA001001,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
Komo-Mondah,GA001002,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
Noya,GA001003,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
Libreville,GA001004,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
Djoue,GA002001,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Djouori-Agnili,GA002002,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Lebombi-Leyou,GA002003,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Lekabi-Lewolo,GA002004,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Lekoko,GA002005,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Lekoni-Lekori,GA002006,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Ogooue-Letili,GA002007,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Passa,GA002008,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Plateaux,GA002009,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Sebe-Brikolo,GA002010,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Bayi-Brikolo,GA002011,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
Abanga-Bigne,GA003001,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2021-12-31,
Ogooue et Lacs,GA003002,,,,Moyen-Ogooue,GA003,Gabon,GA,2015-02-17,2021-12-31,
Boumi-Louetsi,GA004001,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Dola,GA004002,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Douya-Onoye,GA004003,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Louetsi-Bibaka,GA004004,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Louetsi-Wano,GA004005,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Ndolou,GA004006,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Ogoulou,GA004007,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Tsamba-Magotsi,GA004008,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Mougalaba,GA004009,,,,Ngounie,GA004,Gabon,GA,2015-02-17,2021-12-31,
Basse-Banio,GA005001,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Douigni,GA005002,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Doutsila,GA005003,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Haute-Banio,GA005004,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Mougoutsi,GA005005,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Mongo,GA005006,,,,Nyanga,GA005,Gabon,GA,2015-02-17,2021-12-31,
Ivindo,GA006001,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
Lope,GA006002,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
Mvoung,GA006003,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
Zadie,GA006004,,,,Ogooue-Ivindo,GA006,Gabon,GA,2015-02-17,2021-12-31,
Lolo-Bouenguidi,GA007001,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
Lombo-Bouenguidi,GA007002,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
Mouloundou,GA007003,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
Offoue-Onoye,GA007004,,,,Ogooue-Lolo,GA007,Gabon,GA,2015-02-17,2021-12-31,
Bendje,GA008001,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
Etimboue,GA008002,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
Ndougou,GA008003,,,,Ogooue-Maritime,GA008,Gabon,GA,2015-02-17,2021-12-31,
Haut-Komo,GA009001,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
Haut-Ntem,GA009002,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
Ntem,GA009003,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
Okano,GA009004,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
Woleu,GA009005,,,,Woleu-Ntem,GA009,Gabon,GA,2015-02-17,2021-12-31,
