#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Régina,GF1301,Regina,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Cayenne,GF1302,Cayenne,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Iracoubo,GF1303,Iracoubo,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Kourou,GF1304,Kourou,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Macouria,GF1305,Macouria,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Matoury,GF1307,Matoury,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Saint-Georges,GF1308,Saint-Georges,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Remire-Montjoly,GF1309,Remire-Montjoly,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Roura,GF1310,Roura,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Sinnamary,GF1312,Sinnamary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Montsinéry-Tonnegrande,GF1313,Montsinery-Tonnegrande,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Ouanary,GF1314,Ouanary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Camopi,GF1356,Camopi,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Saint-Élie,GF1358,Saint-Elie,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
Mana,GF2306,Mana,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Saint-Laurent-du-Maroni,GF2311,Saint-Laurent-du-Maroni,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Saül,GF2352,Saul,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Maripasoula,GF2353,Maripasoula,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Grand-Santi,GF2357,Grand-Santi,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Apatou,GF2360,Apatou,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Awala-Yalimapo,GF2361,Awala-Yalimapo,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
Papaïchton,GF2362,Papaichton,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
