#adm2+name+i_en,#adm2+name+i_fr,#adm2+name+i_ht,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm2+name+alt1+i_ht,#adm2+name+alt2+i_ht,#adm1+name+i_en,#adm1+name+i_fr,#adm1+name+i_ht,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_fr,#country+name+i_ht,#country+code+v_iso2,#date+start,#date+updated,#date+end
Port-au-Prince,Port-au-Prince,,HT0111,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Delmas,Delmas,,HT0112,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Carrefour,Carrefour,,HT0113,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Petion-Ville,Pétion-Ville,,HT0114,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Kenscoff,Kenscoff,,HT0115,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Gressier,Gressier,,HT0116,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cite Soleil,Cité Soleil,,HT0117,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Tabarre,Tabarre,,HT0118,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Leogane,Léogâne,,HT0121,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Petit-Goave,Petit-Goâve,,HT0122,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Grand-Goave,Grand-Goâve,,HT0123,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Thomazeau,Thomazeau,,HT0132,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ganthier,Ganthier,,HT0133,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Fonds-Verrettes,Fonds-Verrettes,,HT0135,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Arcahaie,Arcahaie,,HT0141,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cabaret,Cabaret,,HT0142,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Anse a Galets,Anse à Galets,,HT0151,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Pointe a Raquette,Pointe à Raquette,,HT0152,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Jacmel,Jacmel,,HT0211,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Marigot,Marigot,,HT0212,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cayes-Jacmel,Cayes-Jacmel,,HT0213,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
La Vallee,La Vallée,,HT0214,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Bainet,Bainet,,HT0221,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cotes de Fer,Côtes de Fer,,HT0222,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Belle Anse,Belle Anse,,HT0231,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Grand Gosier,Grand Gosier,,HT0232,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Thiotte,Thiotte,,HT0233,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Anse-a-Pitre,Anse-à-Pître,,HT0234,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cap-Haitien,Cap-Haïtien,,HT0311,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Quartier Morin,Quartier Morin,,HT0312,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Limonade,Limonade,,HT0313,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Acul du Nord,Acul du Nord,,HT0321,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Plaine du Nord,Plaine du Nord,,HT0322,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Milot,Milot,,HT0323,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Grande Riviere Du Nord,Grande Riviere Du Nord,,HT0331,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Bahon,Bahon,,HT0332,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saint-Raphael,Saint-Raphaël,,HT0341,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Dondon,Dondon,,HT0342,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ranquitte,Ranquitte,,HT0343,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Pignon,Pignon,,HT0344,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
La Victoire,La Victoire,,HT0345,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Borgne,Borgne,,HT0351,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Port-Margot,Port-Margot,,HT0352,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Limbe,Limbé,,HT0361,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Bas Limbe,Bas Limbé,,HT0362,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Plaisance,Plaisance,,HT0371,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Pilate,Pilate,,HT0372,,,,,,,,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Fort-Liberte,Fort-Liberté,,HT0411,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ferrier,Ferrier,,HT0412,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Perches,Perches,,HT0413,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ouanaminthe,Ouanaminthe,,HT0421,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Capotille,Capotille,,HT0422,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Mont-Organise,Mont-Organisé,,HT0423,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Trou du Nord,Trou du Nord,,HT0431,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Sainte Suzanne,Sainte Suzanne,,HT0432,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Terrier Rouge,Terrier Rouge,,HT0433,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Caracol,Caracol,,HT0434,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Vallieres,Vallières,,HT0441,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Carice,Carice,,HT0442,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Mombin Crochu,Mombin Crochu,,HT0443,,,,,,,,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Gonaives,Gonaïves,,HT0511,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ennery,Ennery,,HT0512,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
L'Estere,L'Estère,,HT0513,LEstere,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Gros Morne,Gros Morne,,HT0521,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Terre Neuve,Terre Neuve,,HT0522,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Anse Rouge,Anse Rouge,,HT0523,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saint-Marc,Saint-Marc,,HT0531,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Verrettes,Verrettes,,HT0532,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
La Chapelle,La Chapelle,,HT0533,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Dessalines,Dessalines,,HT0541,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Petite Riviere de l'Artibonite,Petite Rivière de l'Artibonite,,HT0542,Petite Riviere de lArtibonite,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Grande Saline,Grande Saline,,HT0543,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Desdunes,Desdunes,,HT0544,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saint-Michel de l'Attalaye,Saint-Michel de l'Attalaye,,HT0551,Saint-Michel de lAttalaye,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Marmelade,Marmelade,,HT0552,,,,,,,,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Hinche,Hinche,,HT0611,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Maissade,Maïssade,,HT0612,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Thomonde,Thomonde,,HT0613,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cerca Carvajal,Cerca Carvajal,,HT0614,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Mirebalais,Mirebalais,,HT0621,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saut d'Eau,Saut d'Eau,,HT0622,Saut dEau,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Boucan Carre,Boucan Carré,,HT0623,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Lascahobas,Lascahobas,,HT0631,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Belladere,Belladère,,HT0632,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Savanette,Savanette,,HT0633,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cerca La Source,Cerca La Source,,HT0641,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Thomassique,Thomassique,,HT0642,,,,,,,,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Les Cayes,Les Cayes,,HT0711,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Torbeck,Torbeck,,HT0712,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Chantal,Chantal,,HT0713,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Camp-Perrin,Camp-Perrin,,HT0714,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Maniche,Maniche,,HT0715,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Ile a Vache,Île à Vache,,HT0716,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Port-Salut,Port-Salut,,HT0721,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saint Jean du Sud,Saint Jean du Sud,,HT0722,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Arniquet,Arniquet,,HT0723,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Aquin,Aquin,,HT0731,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Saint Louis du Sud,Saint Louis du Sud,,HT0732,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Cavaillon,Cavaillon,,HT0733,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Coteaux,Côteaux,,HT0741,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Port-a-Piment,Port-à-Piment,,HT0742,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Roche a Bateau,Roche à Bâteau,,HT0743,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Chardonnieres,Chardonnières,,HT0751,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Les Anglais,Les Anglais,,HT0752,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Tiburon,Tiburon,,HT0753,,,,,,,,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Jeremie,Jérémie,,HT0811,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Abricots,Abricots,,HT0812,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Bonbon,Bonbon,,HT0813,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Moron,Moron,,HT0814,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Chambellan,Chambellan,,HT0815,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Anse d'Hainault,Anse d'Hainault,,HT0821,Anse dHainault,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Dame Marie,Dame Marie,,HT0822,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Les Irois,Les Irois,,HT0823,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Corail,Corail,,HT0831,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Roseaux,Roseaux,,HT0832,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Beaumont,Beaumont,,HT0833,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Pestel,Pestel,,HT0834,,,,,,,,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Port-de-Paix,Port-de-Paix,,HT0911,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
La Tortue,La Tortue,,HT0912,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Bassin Bleu,Bassin Bleu,,HT0913,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
Chamsolme,Chamsolme,,HT0914,,,,,,,,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
