#adm2+name+i_hu,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_hu,#adm2+name+alt2+i_hu,#adm1+name+i_hu,#adm1+code+v_pcode,#country+name+i_hu,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bacsalmasi jaras,HU001001,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Bajai jaras,HU001002,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Janoshalmai jaras,HU001003,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kalocsai jaras,HU001004,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kecskemeti jaras,HU001005,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kiskorosi jaras,HU001006,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kiskunfelegyhazi jaras,HU001007,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kiskunhalasi jaras,HU001008,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kiskunmajsai jaras,HU001009,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Kunszentmiklosi jaras,HU001010,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Tiszakecskei jaras,HU001011,,,,Bacs Kiskun,HU001,Magyarország,HU,2022-03-09,2022-03-22,
Bolyi jaras,HU002001,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Hegyhati jaras,HU002002,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Komloi jaras,HU002003,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Mohacsi jaras,HU002004,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Pecsi jaras,HU002005,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Pecsvaradi jaras,HU002006,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Sellyei jaras,HU002007,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
Siklosi jaras,HU002008,,,,Baranya,HU002,Magyarország,HU,2022-03-09,2022-03-22,
