admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ru,admin1AltName2_ru,admin1AltName1_ky,admin1AltName2_ky,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin1Type_en,admin1Type_ru,admin1Type_ky
#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_ky,#adm1+code+pcode,,#adm1+name+i_en,#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_ru,#adm1+name+i_ky,#adm1+name+i_ky,#adm0+name+i_en,#adm0+name+i_ru,#adm0+name+i_ky,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to,,,
Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Naryn,Нарынская,Нарын,KG04000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Batken,Баткенская,Баткен,KG05000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Osh,Ошская,Ош,KG06000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Talas,Таласская,Талас,KG07000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Chui,Чуйская,Чүй,KG08000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,province,область,облусу
Bishkek (city),г.Бишкек,Бишкек ш.,KG11000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,город,шаар
Osh (city),г.Ош,Ош ш.,KG21000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,город,шаар
