#adm2+name+i_en,#adm2+name+i_lo,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_lo,#adm2+name+alt2+i_lo,#adm1+name+i_en,#adm1+name+i_lo,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_lo,#country+code+v_iso2,#date+start,#date+updated,#date+end
Chanthabuly,ມ. ຈັນທະບູລີ,LA0101,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Sikhottabong,ມ. ສີໂຄດຕະບອງ,LA0102,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Xaysetha,ມ. ໄຊເສດຖາ,LA0103,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Sisattanak,ມ. ສີສັດຕະນາກ,LA0104,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Naxaithong,ມ. ນາຊາຍທອງ,LA0105,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Xaythany,ມ. ໄຊທະນີ,LA0106,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Hadxaifong,ມ. ຫາດຊາຍຟອງ,LA0107,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Sangthong,ມ. ສັງທອງ,LA0108,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Mayparkngum,ມ. ປາກງື່ມ,LA0109,,,,,,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Phongsaly,ມ. ຜົ້ງສາລີ,LA0201,,,,,,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
May,ມ. ໃໝ່,LA0202,,,,,,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
Khua,ມ. ຂວາ,LA0203,,,,,,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-12,
