#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Akkar,عكار,LB51,,,,,,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Hermel, الهرمل,LB22,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Minieh-Dennie,المنية الضنية,LB55,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tripoli,طرابلس,LB56,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zgharta,زغرتا,LB57,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Baalbek,بعلبك,LB21,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Koura,الكورة,LB54,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Batroun,البترون,LB52,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bcharre, بشري,LB53,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jbeil,جبيل,LB34,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kesrwane, كسروان,LB35,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Meten,المتن,LB36,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Zahle,زحلة,LB25,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Beirut,بيروت,LB11,,,,,,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Baabda,بعبدا,LB32,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aley,عاليه,LB31,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
West Bekaa,البقاع الغربي,LB24,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chouf, الشوف,LB33,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rachaya,راشيا,LB23,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Jezzine,جزين,LB62,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Saida,صيدا,LB61,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
El Nabatieh,النبطية,LB44,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hasbaya,حاصبيا,LB42,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Marjaayoun,مرجعيون,LB43,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sour,صور,LB63,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Bent Jbeil,بنت جبيل,LB41,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
