#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bomi,LR01,,,,Liberia,LR,2017-12-27,2019-11-04,
Bong,LR02,,,,Liberia,LR,2017-12-27,2019-11-04,
Gbarpolu,LR03,,,,Liberia,LR,2017-12-27,2019-11-04,
Grand Bassa,LR04,,,,Liberia,LR,2017-12-27,2019-11-04,
Grand Cape Mount,LR05,,,,Liberia,LR,2017-12-27,2019-11-04,
Grand Gedeh,LR06,,,,Liberia,LR,2017-12-27,2019-11-04,
Grand Kru,LR07,,,,Liberia,LR,2017-12-27,2019-11-04,
Lofa,LR08,,,,Liberia,LR,2017-12-27,2019-11-04,
Margibi,LR09,,,,Liberia,LR,2017-12-27,2019-11-04,
Maryland,LR10,,,,Liberia,LR,2017-12-27,2019-11-04,
Montserrado,LR11,,,,Liberia,LR,2017-12-27,2019-11-04,
Nimba,LR12,,,,Liberia,LR,2017-12-27,2019-11-04,
River Gee,LR13,,,,Liberia,LR,2017-12-27,2019-11-04,
Rivercess,LR14,,,,Liberia,LR,2017-12-27,2019-11-04,
Sinoe,LR15,,,,Liberia,LR,2017-12-27,2019-11-04,
