#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Qiloane,LSA01,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Ratau,LSA02,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Likolobeng,LSA03,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Manonyane,LSA04,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Mohlakeng,LSA05,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Thota-ea-Moli,LSA06,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Lilala,LSA07,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Makhoarane,LSA08,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Kubake,LSA09,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Makhoalipana,LSA10,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Semonkong,LSA11,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Maseru (Maseru District),LSA12,,,,Maseru,LSA,Lesotho,LS,2019-01-08,2020-02-20,
Ngoajane,LSB01,,,,Butha-Buthe,LSB,Lesotho,LS,2019-01-08,2020-02-20,
Likila,LSB02,,,,Butha-Buthe,LSB,Lesotho,LS,2019-01-08,2020-02-20,
Nqoe,LSB03,,,,Butha-Buthe,LSB,Lesotho,LS,2019-01-08,2020-02-20,
Tsa-le-Moleka,LSB04,,,,Butha-Buthe,LSB,Lesotho,LS,2019-01-08,2020-02-20,
Butha-Buthe (Butha-Buthe District),LSB05,,,,Butha-Buthe,LSB,Lesotho,LS,2019-01-08,2020-02-20,
Matsoku,LSC01,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Bolahla,LSC02,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Ramapepe,LSC03,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
'Maoa-Mafubelu,LSC04,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Menkhoaneng,LSC05,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Maisa-Phoka,LSC06,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Sephokong,LSC07,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Litjotjela,LSC08,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Hleoheng,LSC09,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Manka,LSC10,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Tsuili-Tsuili,LSC11,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Maputsoe,LSC12,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Leribe,LSC13,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Butha-Buthe (Leribe District),LSC14,,,,Leribe,LSC,Lesotho,LS,2019-01-08,2020-02-20,
Makeoana,LSD01,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Mapoteng,LSD02,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Kueneng,LSD03,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Tebe-Tebe,LSD04,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Phuthiatsana,LSD05,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Motanasela,LSD06,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
Senekane,LSD07,,,,Berea,LSD,Lesotho,LS,2019-01-08,2020-02-20,
