admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm1+name+i_en,#adm1+code+pcode,,#adm1+name+i_en,#adm1+name+i_en,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Anenii Noi,MD001,,,,Moldova,MD,2016-10-10,2017-07-13,
Balti,MD002,,,,Moldova,MD,2016-10-10,2017-07-13,
Basarabeasca,MD003,,,,Moldova,MD,2016-10-10,2017-07-13,
Bender,MD004,,,,Moldova,MD,2016-10-10,2017-07-13,
Briceni,MD005,,,,Moldova,MD,2016-10-10,2017-07-13,
Cahul,MD006,,,,Moldova,MD,2016-10-10,2017-07-13,
Calarasi,MD007,,,,Moldova,MD,2016-10-10,2017-07-13,
Cantemir,MD008,,,,Moldova,MD,2016-10-10,2017-07-13,
Causeni,MD009,,,,Moldova,MD,2016-10-10,2017-07-13,
Chisinau,MD010,,,,Moldova,MD,2016-10-10,2017-07-13,
Cimislia,MD011,,,,Moldova,MD,2016-10-10,2017-07-13,
Criuleni,MD012,,,,Moldova,MD,2016-10-10,2017-07-13,
Donduseni,MD013,,,,Moldova,MD,2016-10-10,2017-07-13,
Drochia,MD014,,,,Moldova,MD,2016-10-10,2017-07-13,
Dubasari,MD015,,,,Moldova,MD,2016-10-10,2017-07-13,
Edinet,MD016,,,,Moldova,MD,2016-10-10,2017-07-13,
Falesti,MD017,,,,Moldova,MD,2016-10-10,2017-07-13,
Floresti,MD018,,,,Moldova,MD,2016-10-10,2017-07-13,
Glodeni,MD019,,,,Moldova,MD,2016-10-10,2017-07-13,
HDncesti,MD020,,,,Moldova,MD,2016-10-10,2017-07-13,
Ialoveni,MD021,,,,Moldova,MD,2016-10-10,2017-07-13,
Leova,MD022,,,,Moldova,MD,2016-10-10,2017-07-13,
Nisporeni,MD023,,,,Moldova,MD,2016-10-10,2017-07-13,
Ocnita,MD024,,,,Moldova,MD,2016-10-10,2017-07-13,
Orhei,MD025,,,,Moldova,MD,2016-10-10,2017-07-13,
Rezina,MD026,,,,Moldova,MD,2016-10-10,2017-07-13,
RDscani,MD027,,,,Moldova,MD,2016-10-10,2017-07-13,
SDngerei,MD028,,,,Moldova,MD,2016-10-10,2017-07-13,
Soldanesti,MD029,,,,Moldova,MD,2016-10-10,2017-07-13,
Soroca,MD030,,,,Moldova,MD,2016-10-10,2017-07-13,
Stefan Voda,MD031,,,,Moldova,MD,2016-10-10,2017-07-13,
Straseni,MD032,,,,Moldova,MD,2016-10-10,2017-07-13,
Taraclia,MD033,,,,Moldova,MD,2016-10-10,2017-07-13,
Telenesti,MD034,,,,Moldova,MD,2016-10-10,2017-07-13,
Transnistria,MD035,,,,Moldova,MD,2016-10-10,2017-07-13,
Ungheni,MD036,,,,Moldova,MD,2016-10-10,2017-07-13,
Unitate Teritoriala Autonoma Gagauzia,MD037,,,,Moldova,MD,2016-10-10,2017-07-13,
