admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
#adm2+name+i_es,#adm2+code+pcode,,#adm2+name+i_es,#adm2+name+i_es,#adm1+name+i_es,#adm1+code+pcode,#adm0+name+i_es,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Abalá,MX31001,Abala,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Abasolo,MX05001,,,,Coahuila de Zaragoza,MX05,México,MX,2018-02-02,2020-06-18,
Abasolo,MX11001,,,,Guanajuato,MX11,México,MX,2018-02-02,2020-06-18,
Abasolo,MX19001,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Abasolo,MX28001,,,,Tamaulipas,MX28,México,MX,2018-02-02,2020-06-18,
Abejones,MX20001,,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Acacoyagua,MX07001,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Acajete,MX21001,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Acajete,MX30001,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Acala,MX07002,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Acámbaro,MX11002,Acambaro,,,Guanajuato,MX11,México,MX,2018-02-02,2020-06-18,
Acambay,MX15001,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Acanceh,MX31002,,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Acapetahua,MX07003,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Acaponeta,MX18001,,,,Nayarit,MX18,México,MX,2018-02-02,2020-06-18,
Acapulco de Juárez,MX12001,Acapulco de Juarez,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Acateno,MX21002,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Acatepec,MX12076,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Acatic,MX14001,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Acatlán,MX13001,Acatlan,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Acatlán,MX21003,Acatlan,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Acatlán,MX30002,Acatlan,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Acatlán de Juárez,MX14002,Acatlan de Juarez,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Acatlán de Pérez Figueroa,MX20002,Acatlán de Perez Figueroa,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Acatzingo,MX21004,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Acaxochitlán,MX13002,Acaxochitlan,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Acayucan,MX30003,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Acolman,MX15002,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Aconchi,MX26001,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Acteopan,MX21005,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Actopan,MX13003,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Actopan,MX30004,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Acuamanala de Miguel Hidalgo,MX29022,,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Acuitzio,MX16001,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Acula,MX30005,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Aculco,MX15003,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Acultzingo,MX30006,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Acuña,MX05002,Acuna,,,Coahuila de Zaragoza,MX05,México,MX,2018-02-02,2020-06-18,
Agua Blanca de Iturbide,MX13004,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Agua Dulce,MX30204,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Agua Prieta,MX26002,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Agualeguas,MX19002,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Aguascalientes,MX01001,,,,Aguascalientes,MX01,México,MX,2018-02-02,2020-06-18,
Aguililla,MX16002,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Ahome,MX25001,,,,Sinaloa,MX25,México,MX,2018-02-02,2020-06-18,
Ahuacatlán,MX18002,Ahuacatlan,,,Nayarit,MX18,México,MX,2018-02-02,2020-06-18,
Ahuacatlán,MX21006,Ahuacatlan,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ahuacuotzingo,MX12002,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Ahualulco,MX24001,,,,San Luis Potosí,MX24,México,MX,2018-02-02,2020-06-18,
Ahualulco de Mercado,MX14003,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Ahuatlán,MX21007,Ahuatlan,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ahuazotepec,MX21008,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ahuehuetitla,MX21009,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ahumada,MX08001,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Ajacuba,MX13005,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Ajalpan,MX21010,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Ajuchitlán del Progreso,MX12003,Ajuchitlan del Progreso,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Akil,MX31003,,,,Yucatán,MX31,México,MX,2018-02-02,2020-06-18,
Álamo Temapache,MX30160,Alamo Temapache,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Alamos,MX26003,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Alaquines,MX24002,,,,San Luis Potosí,MX24,México,MX,2018-02-02,2020-06-18,
Albino Zertuche,MX21011,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Alcozauca de Guerrero,MX12004,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Aldama,MX07113,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Aldama,MX08002,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Aldama,MX28002,,,,Tamaulipas,MX28,México,MX,2018-02-02,2020-06-18,
Alfajayucan,MX13006,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Aljojuca,MX21012,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Allende,MX05003,,,,Coahuila de Zaragoza,MX05,México,MX,2018-02-02,2020-06-18,
Allende,MX08003,,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Allende,MX19004,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Almoloya,MX13007,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Almoloya de Alquisiras,MX15004,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Almoloya de Juárez,MX15005,Almoloya de Juarez,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Almoloya del Río,MX15006,Almoloya del Rio,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Alpatláhuac,MX30008,Alpatlahuac,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Alpoyeca,MX12005,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Altamira,MX28003,,,,Tamaulipas,MX28,México,MX,2018-02-02,2020-06-18,
Altamirano,MX07004,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Altar,MX26004,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Altepexi,MX21013,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Alto Lucero de Gutiérrez Barrios,MX30009,Alto Lucero de Gutierrez Barrios,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Altotonga,MX30010,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Alvarado,MX30011,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Álvaro Obregón,MX09010,Alvaro Obregon,,,Distrito Federal,MX09,México,MX,2018-02-02,2020-06-18,
Álvaro Obregón,MX16003,Alvaro Obregon,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Amacueca,MX14004,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Amacuzac,MX17001,,,,Morelos,MX17,México,MX,2018-02-02,2020-06-18,
Amanalco,MX15007,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Amatán,MX07005,Amatan,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Amatenango de la Frontera,MX07006,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Amatenango del Valle,MX07007,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Amatepec,MX15008,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Amatitán,MX14005,Amatitan,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Amatitlán,MX30012,Amatitlan,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Amatlán de Cañas,MX18003,Amatlan de Canas,,,Nayarit,MX18,México,MX,2018-02-02,2020-06-18,
Amatlán de los Reyes,MX30014,Amatlan de los Reyes,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Amaxac de Guerrero,MX29001,,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Amealco de Bonfil,MX22001,,,,Querétaro de Arteaga,MX22,México,MX,2018-02-02,2020-06-18,
Ameca,MX14006,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Amecameca,MX15009,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Amixtlán,MX21014,Amixtlan,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
