#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Tobomaro,MH0101,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jah,MH0102,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Mejil,MH0103,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jeh,MH0104,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ennak,MH0105,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kattiej,MH0108,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Woja,MH0110,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Enewe,MH0111,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Bouj,MH0112,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jebwan,MH0113,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Airok,MH0114,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Olar,MH0116,,,,Ailinglaplap,MH01,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Enejelar,MH0203,,,,Ailuk,MH02,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ailuk,MH0211,,,,Ailuk,MH02,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Enelik,MH0221,,,,Ailuk,MH02,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ine,MH0301,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Japo,MH0302,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kinajon,MH0303,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Likwoj - Lukoj,MH0304,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Arno,MH0305,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ulien,MH0307,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Eneaidrik,MH0308,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kilemman,MH0309,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Namwi,MH0311,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Meetdik,MH0312,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Bekarej,MH0313,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kidenen,MH0316,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Mwean,MH0317,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Todo - Tutu,MH0318,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jilan - Jilane,MH0320,,,,Arno,MH03,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
