#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kayes,ML01,,,,Mali (le),ML,2015-06-01,2021-12-23,
Koulikoro,ML02,,,,Mali (le),ML,2015-06-01,2021-12-23,
Sikasso,ML03,,,,Mali (le),ML,2015-06-01,2021-12-23,
Ségou,ML04,Segou,,,Mali (le),ML,2015-06-01,2021-12-23,
Mopti,ML05,,,,Mali (le),ML,2015-06-01,2021-12-23,
Tombouctou,ML06,,,,Mali (le),ML,2015-06-01,2021-12-23,
Gao,ML07,,,,Mali (le),ML,2015-06-01,2021-12-23,
Kidal,ML08,,,,Mali (le),ML,2015-06-01,2021-12-23,
Bamako,ML09,,,,Mali (le),ML,2015-06-01,2021-12-23,
Menaka,ML10,,,,Mali (le),ML,2015-06-01,2021-12-23,
