admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Adaacag,Адаацаг,MN4804,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Airag,Айраг,MN4404,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Alag-Erdene,Алаг-Эрдэнэ,MN6704,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Aldarxaan,Алдархаан,MN8104,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altai,Алтай,MN8204,,,,,,Govi-Altai,Говь-Алтай,MN82,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altai,Алтай,MN8304,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altai,Алтай,MN8404,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altanbulag,Алтанбулаг,MN4104,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altanbulag,Алтанбулаг,MN4304,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altanco'gc,Алтанцөгц,MN8307,Altancogc,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Altanshiree,Алтанширээ,MN4407,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Arbulag,Арбулаг,MN6707,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Argalant,Аргалант,MN4107,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Arvaixeer,Арвайхээр,MN6201,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Arxust,Архуст,MN4110,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Asgat,Асгат,MN2204,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Asgat,Асгат,MN8107,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baacagaan,Баацагаан,MN6404,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baganuur,Багануур,MN1101,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bagaxangai,Багахангай,MN1104,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baruun-Urt,Баруун-Урт,MN2201,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baruunbayan-Ulaan,Баруунбаян-Улаан,MN6204,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baruunbu'ren,Баруунбүрэн,MN4307,Baruunburen,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Baruunturuun,Баруунтуруун,MN8504,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
