#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Zambezi,NA01,,,,Namibia,NA,2011-01-01,2020-01-09,
Erongo,NA02,,,,Namibia,NA,2011-01-01,2020-01-09,
Hardap,NA03,,,,Namibia,NA,2011-01-01,2020-01-09,
Karas,NA04,,//Karas,,Namibia,NA,2011-01-01,2020-01-09,
Kavango East,NA05,,,,Namibia,NA,2011-01-01,2020-01-09,
Khomas,NA06,,,,Namibia,NA,2011-01-01,2020-01-09,
Kunene,NA07,,,,Namibia,NA,2011-01-01,2020-01-09,
Ohangwena,NA08,,,,Namibia,NA,2011-01-01,2020-01-09,
Omaheke,NA09,,,,Namibia,NA,2011-01-01,2020-01-09,
Omusati,NA10,,,,Namibia,NA,2011-01-01,2020-01-09,
Oshana,NA11,,,,Namibia,NA,2011-01-01,2020-01-09,
Oshikoto,NA12,,,,Namibia,NA,2011-01-01,2020-01-09,
Otjozondjupa,NA13,,,,Namibia,NA,2011-01-01,2020-01-09,
Kavango West,NA14,,,,Namibia,NA,2011-01-01,2020-01-09,
