#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Aba North,NG001001,Aba North,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Aba South,NG001002,Aba South,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Arochukwu,NG001003,Arochukwu,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Bende,NG001004,Bende,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Ikwuano,NG001005,Ikwuano,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Isiala-Ngwa North,NG001006,Isiala-Ngwa North,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Isiala-Ngwa South,NG001007,Isiala-Ngwa South,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Isiukwuato,NG001008,Isiukwuato,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Obi Ngwa,NG001009,Obi Ngwa,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Ohafia,NG001010,Ohafia,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Osisioma Ngwa,NG001011,Osisioma Ngwa,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Ugwunagbo,NG001012,Ugwunagbo,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Ukwa East,NG001013,Ukwa East,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Ukwa West,NG001014,Ukwa West,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Umuahia North,NG001015,Umuahia North,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Umuahia South,NG001016,Umuahia South,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Umu-Nneochi,NG001017,Umu-Nneochi,,,Abia,NG001,Nigeria,NG,2017-02-23,2020-04-22,
Demsa,NG002001,Demsa,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Fufore,NG002002,Fufore,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Ganye,NG002003,Ganye,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Gombi,NG002004,Gombi,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Girei,NG002005,Girei,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Guyuk,NG002006,Guyuk,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Hong,NG002007,Hong,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Jada,NG002008,Jada,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Lamurde,NG002009,Lamurde,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Madagali,NG002010,Madagali,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Maiha,NG002011,Maiha,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Mayo-Belwa,NG002012,Mayo-Belwa,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Michika,NG002013,Michika,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Mubi North,NG002014,Mubi North,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Mubi South,NG002015,Mubi South,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Numan,NG002016,Numan,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Shelleng,NG002017,Shelleng,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Song,NG002018,Song,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Toungo,NG002019,Toungo,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Yola North,NG002020,Yola North,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Yola South,NG002021,Yola South,,,Adamawa,NG002,Nigeria,NG,2017-02-23,2020-04-22,
Abak,NG003001,Abak,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Eastern Obolo,NG003002,Eastern Obolo,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Eket,NG003003,Eket,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Esit - Eket,NG003004,Esit - Eket,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Essien Udim,NG003005,Essien Udim,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Etim Ekpo,NG003006,Etim Ekpo,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Etinan,NG003007,Etinan,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ibeno,NG003008,Ibeno,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ibesikpo Asutan,NG003009,Ibesikpo Asutan,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ibiono Ibom,NG003010,Ibiono Ibom,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ika,NG003011,Ika,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ikono,NG003012,Ikono,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ikot Abasi,NG003013,Ikot Abasi,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ikot Ekpene,NG003014,Ikot Ekpene,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Ini,NG003015,Ini,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
Itu,NG003016,Itu,,,Akwa Ibom,NG003,Nigeria,NG,2017-02-23,2020-04-22,
