#adm1+name+i_es,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_es,#adm1+name+alt2+i_es,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Atlántico Norte,NI01,Atlantico Norte,Región Autónoma del Atlántico Norte,,Nicaragua,NI,2017-10-11,2020-08-13,
Atlántico Sur,NI02,Atlantico Sur,Región Autónoma del Atlántico Sur,,Nicaragua,NI,2017-10-11,2020-08-13,
Boaco,NI03,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Carazo,NI04,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Chinandega,NI05,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Chontales,NI06,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Estelí,NI07,Esteli,,,Nicaragua,NI,2017-10-11,2020-08-13,
Granada,NI08,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Jinotega,NI09,,,,Nicaragua,NI,2017-10-11,2020-08-13,
León,NI10,Leon,,,Nicaragua,NI,2017-10-11,2020-08-13,
Madriz,NI11,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Managua,NI12,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Masaya,NI13,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Matagalpa,NI14,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Nueva Segovia,NI15,,,,Nicaragua,NI,2017-10-11,2020-08-13,
Río San Juan,NI16,Rio San Juan,,,Nicaragua,NI,2017-10-11,2020-08-13,
Rivas,NI17,,,,Nicaragua,NI,2017-10-11,2020-08-13,
