#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Achuapa,NI1001,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
Acoyapa,NI0601,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Altagracia,NI1701,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Belén,NI1702,Belen,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Bluefields,NI0201,,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
Boaco,NI0301,,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
Bocana de Paiwas,NI0202,,Bocanas de Paiwa,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
Bonanza,NI0101,,,,Atlántico Norte,NI01,Nicaragua,NI,2017-10-11,2020-08-13,
Buenos Aires,NI1703,,,,Rivas,NI17,Nicaragua,NI,2017-10-11,2020-08-13,
Camoapa,NI0302,,,,Boaco,NI03,Nicaragua,NI,2017-10-11,2020-08-13,
Catarina,NI1301,,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
Chichigalpa,NI0501,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Chinandega,NI0502,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Cinco Pinos,NI0503,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Ciudad Antigua,NI1501,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Ciudad Darío,NI1401,Ciudad Dario,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Ciudad Sandino,NI1502,,El Jícaro,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Comalapa,NI0602,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Condega,NI0701,,,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
Corinto,NI0504,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Dipilto,NI1503,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Diriá,NI0801,Diria,Diri,,Granada,NI08,Nicaragua,NI,2017-10-11,2020-08-13,
Diriamba,NI0401,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
Diriomo,NI0802,,,,Granada,NI08,Nicaragua,NI,2017-10-11,2020-08-13,
Dolores,NI0402,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
El Almendro,NI1601,,,,Río San Juan,NI16,Nicaragua,NI,2017-10-11,2020-08-13,
El Cuá,NI0901,El Cua,El Cu,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
El Jicaral,NI1002,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
El Rama,NI0203,,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
El Realejo,NI0505,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
El Rosario,NI0403,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
El Sauce,NI1003,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
El Viejo,NI0506,,,,Chinandega,NI05,Nicaragua,NI,2017-10-11,2020-08-13,
Esquipulas,NI1402,,,,Matagalpa,NI14,Nicaragua,NI,2017-10-11,2020-08-13,
Estelí,NI0702,Esteli,,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
Granada,NI0803,,,,Granada,NI08,Nicaragua,NI,2017-10-11,2020-08-13,
Jalapa,NI1504,,,,Nueva Segovia,NI15,Nicaragua,NI,2017-10-11,2020-08-13,
Jinotega,NI0902,,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
Jinotepe,NI0404,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
Juigalpa,NI0603,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
Kukra Hill,NI0204,,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
La Concepción,NI1302,La Concepcion,,,Masaya,NI13,Nicaragua,NI,2017-10-11,2020-08-13,
La Concordia,NI0903,,,,Jinotega,NI09,Nicaragua,NI,2017-10-11,2020-08-13,
La Conquista,NI0405,,La ConquiSanta,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
La Cruz de Río Grande,NI0205,La Cruz de Rio Grande,,,Atlántico Sur,NI02,Nicaragua,NI,2017-10-11,2020-08-13,
La Libertad,NI0604,,,,Chontales,NI06,Nicaragua,NI,2017-10-11,2020-08-13,
La Paz Centro,NI1004,,,,León,NI10,Nicaragua,NI,2017-10-11,2020-08-13,
La Paz de Carazo,NI0406,,,,Carazo,NI04,Nicaragua,NI,2017-10-11,2020-08-13,
La Trinidad,NI0703,,,,Estelí,NI07,Nicaragua,NI,2017-10-11,2020-08-13,
