#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Abbottabad,PK201,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Bannu,PK202,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Batagram,PK203,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Buner,PK204,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Charsadda,PK205,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Chitral,PK206,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Dera Ismail Khan,PK207,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Hangu,PK208,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Haripur,PK209,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Karak,PK210,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Kohat,PK211,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Kohistan,PK212,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Lakki Marwat,PK213,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Lower Dir,PK214,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Malakand PA,PK215,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Mansehra,PK216,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Mardan,PK217,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Nowshera,PK218,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Peshawar,PK219,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Shangla,PK220,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Swabi,PK221,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Swat,PK222,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Tank,PK229,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Upper Dir,PK230,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Tor Ghar,PK231,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Bajaur,PK232,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Khyber,PK233,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
Kurram,PK234,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-11-30,2018-12-18,
