#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ilocos Norte,PH012800000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
Ilocos Sur,PH012900000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
La Union,PH013300000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
Pangasinan,PH015500000,,,,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
Batanes,PH020900000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
Cagayan,PH021500000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
Isabela,PH023100000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
Nueva Vizcaya,PH025000000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
Quirino,PH025700000,,,,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
Bataan,PH030800000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Bulacan,PH031400000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Nueva Ecija,PH034900000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Pampanga,PH035400000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Tarlac,PH036900000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Zambales,PH037100000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Aurora,PH037700000,,,,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
Batangas,PH041000000,,,,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
Cavite,PH042100000,,,,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
Laguna,PH043400000,,,,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
Quezon,PH045600000,,,,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
Rizal,PH045800000,,,,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
Albay,PH050500000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
Camarines Norte,PH051600000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
Camarines Sur,PH051700000,,,,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
