#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#adm1+name+alt1+i_ar,#adm1+name+alt2+i_ar,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Aj Jazirah,الجزيرة,SD15,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Blue Nile,النيل الأزرق,SD08,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Central Darfur,وسط دارفور,SD06,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
East Darfur,شرق دارفور,SD05,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gedaref,القضارف,SD12,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kassala,كسلا,SD11,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Khartoum,الخرطوم,SD01,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
North Darfur,شمال دارفور,SD02,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
North Kordofan,شمال كردفان,SD13,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Northern,الشمالية,SD17,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Red Sea,البحر الأحمر,SD10,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
River Nile,نهر النيل,SD16,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sennar,سنار,SD14,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
South Darfur,جنوب دارفور,SD03,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
South Kordofan,جنوب كردفان,SD07,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
West Darfur,غرب دارفور,SD04,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
West Kordofan,غرب كردفان,SD18,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
White Nile,النيل الأبيض,SD09,,,,,,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
