#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Jebel Awlia,جبل أولياء,SD01001,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Bada,أمبدة,SD01002,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Bahri,بحري,SD01003,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sharg An Neel,شرق النيل,SD01004,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Karrari,كرري,SD01005,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Durman,أم درمان,SD01006,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Khartoum,الخرطوم,SD01007,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Dar As Salam,دار السلام,SD02113,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Fasher,الفاشر,SD02114,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Koma,الكومة,SD02116,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Malha,المالحة,SD02117,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
As Serief,السريف,SD02118,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
At Tawisha,الطويشة,SD02119,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Baru,أم برو,SD02120,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kebkabiya,كبكابية,SD02124,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kelemando,كلمندو,SD02126,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kutum,كتم,SD02128,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Melit,مليط,SD02129,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Saraf Omra,سرف عمرة,SD02133,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Kadadah,أم كدادة,SD02136,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kernoi,كرنوي,SD02168,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Lait,اللعيت,SD02169,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Tawila,طويلة,SD02170,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
At Tina,الطينة,SD02171,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Radoum,الردوم,SD03141,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ed Al Fursan,عد الفرسان,SD03143,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kas,كاس,SD03144,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Mershing,مرشنج,SD03145,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Dafoug,أم دافوق,SD03146,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sharg Aj Jabal,شرق الجبل,SD03147,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Tulus,تلس,SD03149,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Wihda,الوحدة,SD03150,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Nitega,نتيقة,SD03151,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Gereida,قريضة,SD03153,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Shattaya,شطاية,SD03154,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
As Sunta,السنطة,SD03156,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kubum,كبم,SD03157,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Rehaid Albirdi,رهيد البردي,SD03158,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kateila,كتيلا,SD03159,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Buram,برام,SD03161,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Beliel,بليل,SD03162,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Nyala Shimal,نيالا شمال,SD03164,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
As Salam - SD,السلام - ج د,SD03166,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Nyala Janoub,نيالا جنوب,SD03167,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Damso,دمسو,SD03172,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Beida,بيضا,SD04111,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ag Geneina,الجنينة,SD04115,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
