#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Dakar,SN01,,,,Senegal,SN,2019-04-30,2022-01-04,
Diourbel,SN02,,,,Senegal,SN,2019-04-30,2022-01-04,
Fatick,SN03,,,,Senegal,SN,2019-04-30,2022-01-04,
Kaffrine,SN04,,,,Senegal,SN,2019-04-30,2022-01-04,
Kaolack,SN05,,,,Senegal,SN,2019-04-30,2022-01-04,
Kedougou,SN06,,,,Senegal,SN,2019-04-30,2022-01-04,
Kolda,SN07,,,,Senegal,SN,2019-04-30,2022-01-04,
Louga,SN08,,,,Senegal,SN,2019-04-30,2022-01-04,
Matam,SN09,,,,Senegal,SN,2019-04-30,2022-01-04,
Saint Louis,SN10,,,,Senegal,SN,2019-04-30,2022-01-04,
Sedhiou,SN11,,,,Senegal,SN,2019-04-30,2022-01-04,
Tambacounda,SN12,,,,Senegal,SN,2019-04-30,2022-01-04,
Thies,SN13,,,,Senegal,SN,2019-04-30,2022-01-04,
Ziguinchor,SN14,,,,Senegal,SN,2019-04-30,2022-01-04,
