#adm3+name+i_en,#adm3+name+i_th,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_th,#adm3+name+alt2+i_th,#adm2+name+i_en,#adm2+name+i_th,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_th,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_th,#country+code+v_iso2,#date+start,#date+updated,#date+end
Phraborom Maharatchawang,พระบรมมหาราชวัง,TH100101,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Burapha Phirom,วังบูรพาภิรมย์,TH100102,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Ratchabophit,วัดราชบพิธ,TH100103,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samran Rat,สำราญราษฎร์,TH100104,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
San Chaopho Suea,ศาลเจ้าพ่อเสือ,TH100105,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sao Chingcha,เสาชิงช้า,TH100106,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bowon Niwet,บวรนิเวศ,TH100107,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Talat Yot,ตลาดยอด,TH100108,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chana Songkhram,ชนะสงคราม,TH100109,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Phan Thom,บ้านพานถม,TH100110,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khun Phrom,บางขุนพรหม,TH100111,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Sam Phraya,วัดสามพระยา,TH100112,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Dusit,ดุสิต,TH100201,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wachira Phayaban,วชิรพยาบาล,TH100202,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suan Chitlada,สวนจิตรลดา,TH100203,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Yaek Mahanak,สี่แยกมหานาค,TH100204,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Thanon Nakhon Chaisi,ถนนนครไชยศรี,TH100206,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Krathum Rai,กระทุ่มราย,TH100301,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Chok,หนองจอก,TH100302,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sip,คลองสิบ,TH100303,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Sip Song,คลองสิบสอง,TH100304,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khok Faet,โคกแฝด,TH100305,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khu Fung Nuea,คู้ฝั่งเหนือ,TH100306,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Phak Chi,ลำผักชี,TH100307,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Toiting,ลำต้อยติ่ง,TH100308,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Maha Phruettharam,มหาพฤฒาราม,TH100401,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Lom,สีลม,TH100402,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suriyawong,สุริยวงศ์,TH100403,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Rak,บางรัก,TH100404,,,,,,Bang Rak,บางรัก,TH1004,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
