admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Kolofo'ou,TO11,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Kolomotu'a,TO12,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Vaini,TO13,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Tatakamotonga,TO14,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Lapaha,TO15,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Nukunuku,TO16,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Kolovai,TO17,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Neiafu,TO21,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Pangaimotu,TO22,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Hahake,TO23,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Leimatu'a,TO24,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Hihifo,TO25,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Motu,TO26,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Pangai,TO31,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Foa,TO32,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Lulunga,TO33,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Mu'omu'a,TO34,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Ha`ano,TO35,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
'Uiha,TO36,,,,Ha'apai,TO3,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
'Eua Prope,TO41,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
'Eua fo'ou,TO42,,,,'Eua,TO4,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Niuatoputapu,TO51,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
Niuafo'ou,TO52,,,,Niuas,TO5,Kingdom of Tonga,TO,2018-02-05,2018-02-12,
