#adm2+name+i_en,#adm2+name+i_uk,#adm2+name+i_ru,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_uk,#adm2+name+alt2+i_uk,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm1+name+i_en,#adm1+name+i_uk,#adm1+name+i_ru,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_uk,#country+name+i_ru,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Bilohirskyi,Білогірський,Белогорский,UA0104,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Yevpatoriiskyi,Євпаторійський,Евпаторийский,UA0108,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Kerchynskyi,Керченський,Керченский,UA0110,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Kurmanskyi,Курманський,Курманский,UA0112,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Perekopskyi,Перекопський,Перекопский,UA0114,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Simferopolskyi,Сімферопольський,Симферопольский,UA0116,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Feodosiiskyi,Феодосійський,Феодосийский,UA0118,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
Yaltynskyi,Ялтинський,Ялтинский,UA0120,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
