#adm2+name+i_en,#adm2+name+i_ru,#adm2+name+i_uz,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm2+name+alt1+i_uz,#adm2+name+alt2+i_uz,#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_uz,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ru,#country+name+i_uz,#country+code+v_iso2,#date+start,#date+updated,#date+end
Termez,Термезский,Termiz,UZ22220,,,,,,,,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nurata,Нуратинский,Nurota,UZ12238,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Navoi city,г.Навои,Navoiy ш.,UZ12401,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Jondor,Жондоpский,Jondor,UZ06246,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bukhara,Бухарский,Buxoro,UZ06207,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Alat,Алатский,Olot,UZ06204,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Karakul,Каракульский,Qorako'l,UZ06230,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kasbi,Касбинский,Kasbi,UZ10237,,,,,,,,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Mirishkar,Миришкорский,Mirishkor,UZ10233,,,,,,,,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nishan,Нишанский,Nishon,UZ10235,,,,,,,,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
