admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm1+name+i_en,#adm1+code+pcode,,#adm1+name+i_en,#adm1+name+i_en,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Eastern Cape,ZA2,,,,South Africa,ZA,2018-12-27,2020-11-09,
Free State,ZA4,,,,South Africa,ZA,2018-12-27,2020-11-09,
Gauteng,ZA7,,,,South Africa,ZA,2018-12-27,2020-11-09,
KwaZulu-Natal,ZA5,,,,South Africa,ZA,2018-12-27,2020-11-09,
Limpopo,ZA9,,,,South Africa,ZA,2018-12-27,2020-11-09,
Mpumalanga,ZA8,,,,South Africa,ZA,2018-12-27,2020-11-09,
North West,ZA6,,,,South Africa,ZA,2018-12-27,2020-11-09,
Nothern Cape,ZA3,,,,South Africa,ZA,2018-12-27,2020-11-09,
Western Cape,ZA1,,,,South Africa,ZA,2018-12-27,2020-11-09,
