#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
West Coast,ZA101,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Cape Winelands,ZA102,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Overberg,ZA103,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Eden,ZA104,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Central Karoo,ZA105,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
City of Cape Town,ZA191,,,,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-12,
Cacadu,ZA210,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Amathole,ZA212,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Chris Hani,ZA213,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Joe Gqabi,ZA214,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
O.R.Tambo,ZA215,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Alfred Nzo,ZA244,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Buffalo City,ZA292,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Nelson Mandela Bay,ZA293,,,,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-12,
Namakwa,ZA306,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Pixley ka Seme,ZA307,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Z F Mgcawu,ZA308,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Frances Baard,ZA309,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
John Taolo Gaetsewe,ZA345,,,,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-12,
Xhariep,ZA416,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Lejweleputswa,ZA418,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Thabo Mofutsanyane,ZA419,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Fezile Dabi,ZA420,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Mangaung,ZA494,,,,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-12,
Ugu,ZA521,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Umgungundlovu,ZA522,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Uthukela,ZA523,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Umzinyathi,ZA524,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Amajuba,ZA525,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Zululand,ZA526,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Umkhanyakude,ZA527,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Uthungulu,ZA528,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
iLembe,ZA529,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Sisonke,ZA543,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
eThekwini,ZA595,,,,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-12,
Bojanala,ZA637,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
Ngaka Modiri Molema,ZA638,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
Dr Ruth Segomotsi Mompati,ZA639,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
Dr Kenneth Kaunda,ZA640,,,,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-12,
Sedibeng,ZA742,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-12,
West Rand,ZA748,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-12,
Ekurhuleni,ZA797,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-12,
City of Johannesburg,ZA798,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-12,
City of Tshwane,ZA799,,,,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-12,
Gert Sibande,ZA830,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-12,
Nkangala,ZA831,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-12,
Ehlanzeni,ZA832,,,,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-12,
Mopani,ZA933,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-12,
Vhembe,ZA934,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-12,
Capricorn,ZA935,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-12,
Waterberg,ZA936,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-12,
Sekhukhune,ZA947,,,,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-12,
