#adm1+name+i_eng+is_latn,#adm1+name+i_aze+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_aze+is_latn,#adm1+name+alt2+i_aze+is_latn,#country+name+i_eng+is_latn,#country+name+i_aze+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Baku,Bakı,AZ00000003,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Sadarak,Sədərək ,AZ10100001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Sharur,Şərur ,AZ10200001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Babek,Babək ,AZ10300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Nakhchivan,Naxçıvan,AZ10400002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Shahbuz,Şahbuz ,AZ10500001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Julfa,Culfa ,AZ10600001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Ordubad,Ordubad ,AZ10700001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Kengerli,Kəngərli ,AZ10800001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Ganja,Gəncə,AZ20000002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Gusar,Qusar ,AZ30100001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Khachmaz,Xaçmaz ,AZ30200001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Guba,Quba ,AZ30300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Shabran,Şabran ,AZ30400001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Siyazan,Siyəzən ,AZ30500001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Khizy,Xızı ,AZ30600001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Gobustan,Qobustan ,AZ30700001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Absheron,Abşeron ,AZ30800001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Sumgait,Sumqayıt,AZ30900002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Balakan,Balakən ,AZ40100001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Zagatala,Zaqatala ,AZ40200001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Gakh,Qax ,AZ40300001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Shaki,Şəki ,AZ40401002,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
Oghuz,Oğuz ,AZ40500001,,,,,,Azerbaijan,Azərbaycan,AZ,2020-11-24,2020-11-24,
