#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Gaborone,BW01,,,,Botswana,BW,2021-05-18,2021-05-18,
Francistown,BW02,,,,Botswana,BW,2021-05-18,2021-05-18,
Lobatse,BW03,,,,Botswana,BW,2021-05-18,2021-05-18,
Selibe Phikwe,BW04,,,,Botswana,BW,2021-05-18,2021-05-18,
Orapa,BW05,,,,Botswana,BW,2021-05-18,2021-05-18,
Jwaneng,BW06,,,,Botswana,BW,2021-05-18,2021-05-18,
Sowa Town,BW07,,,,Botswana,BW,2021-05-18,2021-05-18,
Southern,BW08,,,,Botswana,BW,2021-05-18,2021-05-18,
South East,BW09,,,,Botswana,BW,2021-05-18,2021-05-18,
Kweneng,BW10,,,,Botswana,BW,2021-05-18,2021-05-18,
Kgatleng,BW11,,,,Botswana,BW,2021-05-18,2021-05-18,
Central,BW12,,,,Botswana,BW,2021-05-18,2021-05-18,
North East,BW13,,,,Botswana,BW,2021-05-18,2021-05-18,
North West,BW14,,,,Botswana,BW,2021-05-18,2021-05-18,
Chobe,BW15,,,,Botswana,BW,2021-05-18,2021-05-18,
Ghanzi,BW16,,,,Botswana,BW,2021-05-18,2021-05-18,
Kgalagadi,BW17,,,,Botswana,BW,2021-05-18,2021-05-18,
