#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Región de Tarapacá,CL01,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Antofagasta,CL02,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Atacama,CL03,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Coquimbo,CL04,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Valparaíso,CL05,,,,Chile,CL,2020-05-18,2020-05-26,
Región del Libertador Bernardo O'Higgins,CL06,,,,Chile,CL,2020-05-18,2020-05-26,
Región del Maule,CL07,,,,Chile,CL,2020-05-18,2020-05-26,
Región del Bío-Bío,CL08,,,,Chile,CL,2020-05-18,2020-05-26,
Región de La Araucanía,CL09,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Los Lagos,CL10,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Aysén del Gral.Ibañez del Campo,CL11,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Magallanes y Antártica Chilena,CL12,,,,Chile,CL,2020-05-18,2020-05-26,
Región Metropolitana de Santiago,CL13,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Los Ríos,CL14,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Arica y Parinacota,CL15,,,,Chile,CL,2020-05-18,2020-05-26,
Región de Ñuble,CL16,,,,Chile,CL,2020-05-18,2020-05-26,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
