#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Kinshasa,CD10,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kongo-Central,CD20,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kwango,CD31,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kwilu,CD32,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Maï-Ndombe,CD33,Mai-Ndombe,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Equateur,CD41,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Sud-Ubangi,CD42,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Nord-Ubangi,CD43,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Mongala,CD44,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Tshuapa,CD45,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Tshopo,CD51,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Bas-Uele,CD52,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Haut-Uele,CD53,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Ituri,CD54,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Nord-Kivu,CD61,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Sud-Kivu,CD62,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Maniema,CD63,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Haut-Katanga,CD71,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Lualaba,CD72,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Haut-Lomami,CD73,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Tanganyika,CD74,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Lomami,CD81,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kasaï-Oriental,CD82,Kasai-Oriental,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Sankuru,CD83,,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kasaï-Central,CD91,Kasai-Central,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
Kasaï,CD92,Kasai,,,République démocratique du Congo (la),CD,2019-09-09,2019-09-11,
