#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Alaili Dadda,DJ0101,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
Obock,DJ0102,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
Dorra,DJ0201,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Randa,DJ0202,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Balha,DJ0203,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
Tadjourah,DJ0204,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
YobokiI,DJ0301,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
Dilkhil,DJ0302,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
As Eyla,DJ0303,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
Djibouti,DJ0401,,,,Djibouti,DJ04,Djibouti,DJ,2018-10-26,2020-02-20,
Ali Sabeh,DJ0501,,,,Ali Sabeh,DJ05,Djibouti,DJ,2018-10-26,2020-02-20,
