#adm4+name+i_spa+is_latn,#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_spa+is_latn,#adm4+name+alt2+i_spa+is_latn,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_spa+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
San Francisco de Macorís,,DO01010101,San Francisco de Macoris,,,,,Municipio San Francisco de Macorís,,DO010101,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
La Peña (D.M.),,DO01010102,La Pena (D.M.),,,,,Municipio San Francisco de Macorís,,DO010101,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Cenoví (D.M.),,DO01010103,Cenovi (D.M.),,,,,Municipio San Francisco de Macorís,,DO010101,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Jaya (D.M.),,DO01010104,Jaya (D.M.),,,,,Municipio San Francisco de Macorís,,DO010101,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Presidente Don Antonio Guzmán Fernández (D.M.),,DO01010105,Presidente Don Antonio Guzman Fernandez (D.M.),,,,,Municipio San Francisco de Macorís,,DO010101,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Arenoso,,DO01010201,Arenoso,,,,,Municipio Arenoso,,DO010102,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Las Coles (D.M.),,DO01010202,Las Coles (D.M.),,,,,Municipio Arenoso,,DO010102,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
El Aguacate (D.M.),,DO01010203,El Aguacate (D.M.),,,,,Municipio Arenoso,,DO010102,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Castillo,,DO01010301,Castillo,,,,,Municipio Castillo,,DO010103,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Pimentel,,DO01010401,Pimentel,,,,,Municipio Pimentel,,DO010104,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Villa Riva,,DO01010501,Villa Riva,,,,,Municipio Villa Riva,,DO010105,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Agua Santa del Yuna (D.M.),,DO01010502,Agua Santa del Yuna (D.M.),,,,,Municipio Villa Riva,,DO010105,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Cristo Rey de Guaraguao (D.M.),,DO01010503,Cristo Rey de Guaraguao (D.M.),,,,,Municipio Villa Riva,,DO010105,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Las Taranas (D.M.),,DO01010504,Las Taranas (D.M.),,,,,Municipio Villa Riva,,DO010105,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Barraquito (D.M.),,DO01010505,Barraquito (D.M.),,,,,Municipio Villa Riva,,DO010105,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Las Guáranas,,DO01010601,Las Guaranas,,,,,Municipio Las Guáranas,,DO010106,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Eugenio María de Hostos,,DO01010701,Eugenio Maria de Hostos,,,,,Municipio Eugenio María de Hostos,,DO010107,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Sabana Grande (D.M.),,DO01010702,Sabana Grande (D.M.),,,,,Municipio Eugenio María de Hostos,,DO010107,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Salcedo,,DO01020101,Salcedo,,,,,Municipio Salcedo,,DO010201,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Jamao Afuera (D.M.),,DO01020102,Jamao Afuera (D.M.),,,,,Municipio Salcedo,,DO010201,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Tenares,,DO01020201,Tenares,,,,,Municipio Tenares,,DO010202,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Blanco (D.M.),,DO01020202,Blanco (D.M.),,,,,Municipio Tenares,,DO010202,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Villa Tapia,,DO01020301,Villa Tapia,,,,,Municipio Villa Tapia,,DO010203,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Nagua,,DO01030101,Nagua,,,,,Municipio Nagua,,DO010301,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
San José de Matanzas (D.M.),,DO01030102,San Jose de Matanzas (D.M.),,,,,Municipio Nagua,,DO010301,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
