#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ara+is_arab,#adm1+name+alt2+i_ara+is_arab,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Adrar,أدرا,DZ001,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Ain-Defla,عين الدفلى,DZ002,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Ain-Temouchent,عين تموشنت,DZ003,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Alger,الجزائر,DZ004,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Annaba,عنابة,DZ005,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Batna,باتنة,DZ006,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Bechar,بشار,DZ007,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Bejaia,بجاية,DZ008,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Biskra,بسكرة,DZ009,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Blida,البليدة,DZ010,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Bordj Bou Arrer,برج بوعريريج,DZ011,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Bouira,البويرة,DZ012,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Boumerdes,بومرداس,DZ013,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Chlef,الشلف,DZ014,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Constantine,قسنطينة,DZ015,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Djelfa,الجلفة,DZ016,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
El Bayadh,البيض,DZ017,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
El Oued,الوادي,DZ018,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
El-Tarf,الطارف,DZ019,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Ghardaia,غرداية,DZ020,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Guelma,قالمة,DZ021,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Illizi,اليزي,DZ022,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Jijel,جيجل,DZ023,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Khenchela,خنشلة,DZ024,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Laghouat,الأغواط,DZ025,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Mascara,معسكر,DZ026,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Medea,المدية,DZ027,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Mila,ميلة,DZ028,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Mostaganem,مستغانم,DZ029,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
M'Sila,المسيلة,DZ030,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Naama,النعامة,DZ031,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Oran,وهران,DZ032,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Ouargla,ورقلة,DZ033,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Oum El Bouaghi,أم البواقي,DZ034,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Relizane,غليزان,DZ035,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Saida,سعيدة,DZ036,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Setif,سطيف,DZ037,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Sidi Bel Abbes,سيدي بلعباس,DZ038,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Skikda,سكيكدة,DZ039,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Souk-Ahras,سوق أهراس,DZ040,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tamanrasset,تمنراست,DZ041,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tebessa,تبسة,DZ042,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tiaret,تيارت,DZ043,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tindouf,تندوف,DZ044,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tipaza,تيبازة,DZ045,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tissemsilt,تسمسيلت,DZ046,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tizi Ouzou,تيزي وزو,DZ047,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
Tlemcen,تلمسان,DZ048,,,,,,Algeria,الجزا,DZ,2014-12-19,2020-04-28,
