#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Adrar,,DZ001001,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Akabili,,DZ001002,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Aougrout,,DZ001003,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Aoulef,,DZ001004,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bordj Badji Mokhtar,,DZ001005,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Bouda,,DZ001006,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Deldoul,,DZ001007,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Fenoughil,,DZ001008,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Gharouine,,DZ001009,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Inzegmir,,DZ001010,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ksar Kaddour,,DZ001011,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Metarfa,,DZ001012,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Ahmed Timi,,DZ001013,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Aissa,,DZ001014,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Ouled Said,,DZ001015,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Reggane,,DZ001016,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sali,,DZ001017,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Sebaa,,DZ001018,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Talmine,,DZ001019,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tamentit,,DZ001020,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Tamest,,DZ001021,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
Timiaouine,,DZ001022,,,,,,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
