#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Tahtay Adiyabo,ET010101,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Laelay Adiabo,ET010102,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Zana,ET010103,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Tahtay Koraro,ET010104,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Asgede,ET010105,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Tselemti,ET010106,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Sheraro town,ET010107,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Indasilassie town,ET010108,,Shire town,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Selekleka,ET010109,,Laelay Koraro,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Seyemti Adyabo,ET010110,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Adi Daero,ET010111,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Adi Hageray,ET010112,,Maekel Adiyabo,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Tsimbla,ET010113,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Endabaguna town,ET010114,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Dima (TG),ET010115,,Laelay Tselemti,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
May Tsebri town,ET010116,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
Chila,ET010201,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
