#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bua ,FJ102,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Cakaudrove,FJ103,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Macuata,FJ107,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2019-12-30,
Ba,FJ201,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2019-12-30,
Nadroga/Navosa,FJ208,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2019-12-30,
Ra,FJ211,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2019-12-30,
Kadavu,FJ304,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2019-12-30,
Lau,FJ305,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2019-12-30,
Lomaiviti,FJ306,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2019-12-30,
Rotuma,FJ315,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2019-12-30,
Naitasiri,FJ409,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2019-12-30,
Namosi,FJ410,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2019-12-30,
Rewa,FJ412,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2019-12-30,
Serua,FJ413,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2019-12-30,
Tailevu,FJ414,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2019-12-30,
