#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Al-Falluja,الفلوجة,IQG01Q01,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Kaim,القائم,IQG01Q02,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Ramadi,الرمادي,IQG01Q03,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Rutba,الرطبة,IQG01Q04,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Ana,عنه,IQG01Q05,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Haditha,حديثة,IQG01Q06,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Heet,هيت,IQG01Q07,,,,,,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Abu Al-Khaseeb,ابي الخصيب,IQG02Q01,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Basrah,البصرة,IQG02Q02,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Faw,الفاو,IQG02Q03,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Midaina,المدينة,IQG02Q04,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Qurna,القرنة,IQG02Q05,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Zubair,الزبير,IQG02Q06,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Shat Al-Arab,شط العرب,IQG02Q07,,,,,,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Khidhir,الخضر,IQG03Q01,,,,,,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Rumaitha,الرميثة,IQG03Q02,,,,,,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Salman,السلمان,IQG03Q03,,,,,,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Samawa,السماوة,IQG03Q04,,,,,,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Kufa,الكوفة,IQG04Q01,,,,,,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Manathera, المناذرة,IQG04Q02,,,,,,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Najaf,النجف,IQG04Q03,,,,,,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Afaq,عفك,IQG05Q01,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Diwaniya,الديوانية,IQG05Q02,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hamza,الحمزة,IQG05Q03,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Shamiya,الشامية,IQG05Q04,,,,,,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Sulaymaniyah,السليمانية,IQG06Q01,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Chamchamal,جمجمال,IQG06Q02,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Derbendikhan,دربندخان,IQG06Q03,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Dokan,دوكان,IQG06Q04,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Halabcha,حلبجة,IQG06Q05,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kalar,كلار,IQG06Q06,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Panjwin,بنجوين,IQG06Q07,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Pshdar,بشدر,IQG06Q08,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Rania,رانية,IQG06Q09,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Sharbazher,شهربازار,IQG06Q10,,,,,,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hashimiya,الهاشمية,IQG07Q01,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Hilla,الحلة,IQG07Q02,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mahaweel,المحاويل,IQG07Q03,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mussyab,المسيب,IQG07Q04,,,,,,Babil,بابل,IQG07,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Adhamiya,الاعظمية,IQG08Q01,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Kadhmiyah,الكاظمية,IQG08Q02,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Karkh,الكرخ,IQG08Q03,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mada'in,المدائن,IQG08Q04,Al-Madain,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Mahmoudiya,المحمودية,IQG08Q05,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Risafa,الرصافة,IQG08Q06,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Thawra,الثورة,IQG08Q07,,,,,,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Amadiya,العمادية,IQG09Q01,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Duhok,دهوك,IQG09Q02,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Sumail,سميل,IQG09Q03,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Zakho,زاخو,IQG09Q04,,,,,,Duhok,دهوك,IQG09,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Khalis,الخالص,IQG10Q01,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Al-Muqdadiya,المقدادية,IQG10Q02,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Baladruz,مندلي,IQG10Q03,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Baquba,بعقوبة,IQG10Q04,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Khanaqin,خانقين,IQG10Q05,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
Kifri,كفري,IQG10Q06,,,,,,Diyala,ديالى,IQG10,Iraq,العراق,IQ,2019-06-05,2021-02-11,
