#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Banteay Neang,KH010201,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Bat Trang,KH010202,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Chamnaom,KH010203,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kouk Ballangk,KH010204,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Koy Maeng,KH010205,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ou Prasat,KH010206,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phnum Touch,KH010207,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Rohat Tuek,KH010208,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ruessei Kraok,KH010209,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Sambuor,KH010210,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Soea,KH010211,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Srah Reang,KH010212,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ta Lam,KH010213,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Nam Tau,KH010301,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Poy Char,KH010302,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ponley,KH010303,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Spean Sraeng,KH010304,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Srah Chik,KH010305,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phnum Dei,KH010306,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Chnuor Mean Chey,KH010401,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Chob Vari,KH010402,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phnum Lieb,KH010403,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Prasat,KH010404,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Preak Netr Preah,KH010405,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Rohal,KH010406,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Tean Kam,KH010407,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Tuek Chour,KH010408,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Bos Sbov,KH010409,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Changha,KH010501,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Koub,KH010502,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kuttasat,KH010503,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Samraong,KH010505,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Souphi,KH010506,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Soengh,KH010507,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ou Beichoan,KH010509,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kampong Svay,KH010602,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kaoh Pong Satv,KH010603,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Mkak,KH010604,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ou Ambel,KH010605,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phniet,KH010606,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Preah Ponlea,KH010607,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Tuek Thla,KH010608,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Banteay Chhmar,KH010701,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kouk Romiet,KH010702,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phum Thmei,KH010703,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Thma Puok,KH010704,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kouk Kakthen,KH010705,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kumru,KH010706,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phkoam,KH010801,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Sarongk,KH010802,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Sla Kram,KH010803,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Svay Chek,KH010804,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ta Baen,KH010805,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ta Phou,KH010806,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Treas,KH010807,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Roluos,KH010808,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Boeng Beng,KH010901,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Malai,KH010902,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ou Sampoar,KH010903,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ou Sralau,KH010904,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Tuol Pongro,KH010905,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Ta Kong,KH010906,,,,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Nimitt,KH011001,,,,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Paoy Paet,KH011002,,,,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Phsar Kandal,KH011003,,,,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-04,
Kantueu Muoy,KH020101,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Kantueu Pir,KH020102,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Bay Damram,KH020103,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Chheu Teal,KH020104,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Chaeng Mean Chey,KH020105,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Phnum Sampov,KH020106,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Snoeng,KH020107,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ta Kream,KH020108,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ta Pung,KH020201,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ta Meun,KH020202,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ou Ta Ki,KH020203,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Chrey,KH020204,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Anlong Run,KH020205,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Chrouy Sdau,KH020206,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Boeng Pring,KH020207,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Kouk Khmum,KH020208,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Bansay Traeng,KH020209,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Rung Chrey,KH020210,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Tuol Ta Ek,KH020301,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Prek Preah Sdach,KH020302,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Rottanak,KH020303,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Chomkar Somraong,KH020304,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Sla Ket,KH020305,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Kdol Doun Teav,KH020306,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Omal,KH020307,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Wat Kor,KH020308,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ou Char,KH020309,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Svay Por,KH020310,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Bavel,KH020401,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Khnach Romeas,KH020402,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Lvea,KH020403,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Prey Khpos,KH020404,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Ampil Pram Daeum,KH020405,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Kdol Ta Haen,KH020406,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Khlaeng Meas,KH020407,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Boeung Pram,KH020408,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
Preaek Norint,KH020501,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,2014-10-14,2018-10-04,
