#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Christ Church Nichola Town,KN01,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Anne Sandy Point,KN02,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint George Basseterre,KN03,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint George Gingerland,KN04,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint James Windward,KN05,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint John Capisterre,KN06,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint John Figtree,KN07,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Mary Cayon,KN08,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Paul Capisterre,KN09,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Paul Charlestown,KN10,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Peter Basseterre,KN11,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Thomas Lowland,KN12,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Thomas Middle Island,KN13,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Trinity Palmetto Point,KN14,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
