#adm3+name+i_eng+is_latn,#adm3+name+i_ara+is_arab,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_ara+is_arab,#adm3+name+alt2+i_ara+is_arab,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ain el-Mreisseh,عين المريسه,LB10110,Ain el-Mreisseh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Ras Beyrouth,راس بيروت,LB10150,Ras Beyrouth,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Moussaytbeh,مصيطبة,LB10210,Moussaytbeh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Minet el-Hosn,مينا الحصن,LB10250,Minet el-Hosn,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Mazraa,المزرعة,LB10310,Mazraa,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Bachoura,باشورة,LB10350,Bachoura,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Zoukak el-Blatt,زقاق البلاط,LB10410,Zoukak el-Blatt,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Marfaa,مرفأ,LB10450,Marfaa,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Saifeh,صيفي,LB10510,Saifeh,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Remeil,رميل,LB10550,Remeil,,,,,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
