#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Au Tabor,LC04040020000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Au Tabor Hill,LC04040020100,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Bois D'Inde,LC04040050000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Champen Estate,LC04040060000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Dame De Traversay,LC04040070000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Derriere Dos,LC04040080000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Derriere Lagoon,LC04040090000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Durandeau,LC04040100000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Eau Rouge,LC04040110000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Invorgoil Estate,LC04040120000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Jacmel,LC04040130000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Jean Baptiste,LC04040140000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
La Treille,LC04040150000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Massacre,LC04040170000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Millet,LC04040180000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Caico/Millet,LC04040180100,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Enbar Pwin/Millet,LC04040180101,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Tete Chemin/Millet,LC04040180300,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Ciseaux,LC04040200000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne D'Or,LC04040210000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Roseau Valley,LC04040220000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
St Lawrence,LC04040230000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
St Lawrence Estate,LC04040230100,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Vanard,LC04040240000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Venus,LC04040250000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Village,LC04040260000,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Village/Petite Bourgh,LC04040260700,,,,Anse La Raye,LC04,Saint Lucia,LC,2019-05-01,2019-05-08,
Anse Cochon,LC05050010000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Anse Galet,LC05050020000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Anse La Verdue,LC05050030000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Belvedere,LC05050040000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Chalon,LC05050060000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Chatin,LC05050070000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Des Bottes,LC05050080000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Siquot,LC05050110000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Theodorine,LC05050130000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Village,LC05050140000,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Riverside Road,LC05050141100,,,,Canaries,LC05,Saint Lucia,LC,2019-05-01,2019-05-08,
Anse Chastanet,LC06060010000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Beausejour/Myers Bridge,LC06060020000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Belfond,LC06060030000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Belle Plain,LC06060040000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Belvedere,LC06060050000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Bois D'Inde,LC06060060000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Bouton,LC06060070000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Calvary/Calvaire,LC06060090000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Chateau Belair,LC06060100000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Colombette,LC06060110000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Cresslands,LC06060120000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Lastic,LC06060130000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Deville,LC06060140000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Diamond/Diamond Estate,LC06060150000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Esperance,LC06060160000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Etangs,LC06060170000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
La Dauphine Estate,LC06060170100,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Bernier,LC06060180000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Cacoa,LC06060190000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Doux,LC06060200000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Jalousie,LC06060230000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
La Pearle,LC06060240000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Malgretoute,LC06060260000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Plat Pays,LC06060260100,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Migny,LC06060270000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Mocha,LC06060280000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Bonin,LC06060290000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Coubaril Estate,LC06060310000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne La Croix,LC06060320000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
New Development,LC06060340000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Palmiste,LC06060350000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Rabot,LC06060370000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Ravine Claire,LC06060390000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Ruby Estate,LC06060420000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Sapphire,LC06060430000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Soufriere Estate,LC06060440000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
St Phillip,LC06060450000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Sulphur Springs,LC06060460000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Ti Boug,LC06060470000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Toraille,LC06060480000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Town,LC06060490000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Baron'S Drive/Coin De L'Anse,LC06060490100,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Lenny Hill,LC06060490700,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Union Vale,LC06060500000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Zenon,LC06060530000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
La Haut,LC06060550000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Terre Blanche,LC06060570000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Stonefield,LC06060580000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Gens Libre,LC06060600000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
St Remy Estate,LC06060630000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Compar,LC06060640000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Cenac,LC06060660000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Descolons,LC06060670000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Gros Piton,LC06060680000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Mal Maison,LC06060700000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Tabac,LC06060710000,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Petit Piton,LC06060720001,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Ti Delcer,LC06060720002,,,,Soufriere,LC06,Saint Lucia,LC,2019-05-01,2019-05-08,
Belle Vue,LC07070010000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Marche Gaye,LC07070020000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Bois D'Inde,LC07070030000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Caffiere,LC07070040000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Dacretin,LC07070060000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Debreiul,LC07070080000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Delcer,LC07070090000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Derriere Morne,LC07070100000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Dugard,LC07070110000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Dupre,LC07070120000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Esperance,LC07070140000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Newfield/Fiette,LC07070150000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Franciou,LC07070160000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Industry,LC07070170000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
La Fargue,LC07070180000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Cedars/Chu Tigre,LC07070180100,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
La Pointe,LC07070190000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Lamaze,LC07070200000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Le Riche,LC07070210000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Mailly Motete,LC07070240000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Martin,LC07070250000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Mavay,LC07070260000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Mongouge,LC07070270000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Motete,LC07070280000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Monzie,LC07070290000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Jacques,LC07070300000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Sion,LC07070310000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Palama,LC07070320000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Ponyon,LC07070350000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Raveneau,LC07070360000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Reunion,LC07070370000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Portalese,LC07070370200,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
River Doree,LC07070380000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Roblot,LC07070390000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Sauzay,LC07070400000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Victoria,LC07070420000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Village,LC07070430000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Savannes George/Constitution Park,LC07070430100,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Christian Hill,LC07070440000,,,,Choiseul,LC07,Saint Lucia,LC,2019-05-01,2019-05-08,
Annus,LC08080010000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Beyar,LC08080020000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Balca,LC08080030000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
En Leur Ba/Balca,LC08080030100,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Balembouche,LC08080040000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Banse,LC08080050000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Banse La Grace,LC08080060000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Fond Berange,LC08080070000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Bongalo,LC08080080000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Daban,LC08080110000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Warwick/Daban,LC08080110100,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Gayabois,LC08080120000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Gentil,LC08080130000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Getrine,LC08080140000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Giraud,LC08080150000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
H'Erelle,LC08080160000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
La Haut,LC08080220000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
La Perle,LC08080230000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Londonderry,LC08080250000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Macdomel,LC08080260000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Gomier,LC08080270000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Le Blanc,LC08080280000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Lezard Estate,LC08080290000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Morne Paul,LC08080300000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Olibo,LC08080310000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Parc Estate,LC08080320000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Piaye,LC08080330000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Saltibus,LC08080350000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Saphire,LC08080360000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Tete Morne,LC08080390000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Village,LC08080410000,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Kennedy Highway,LC08080411300,,,,Laborie,LC08,Saint Lucia,LC,2019-05-01,2019-05-08,
Augier,LC09090010000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Derierre Bois,LC09090010300,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Obrier,LC09090010500,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Beane Field,LC09090030000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Anse De Sables/Beane Field,LC09090030200,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Beausejour,LC09090040000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Belle Vue,LC09090050000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Black Bay,LC09090060000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Cantonement,LC09090090000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Carierre,LC09090100000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
Catin,LC09090110000,,,,Vieux-Fort,LC09,Saint Lucia,LC,2019-05-01,2019-05-08,
