#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Adrar,MR01,,,,Mauritania,MR,2017-08-09,2022-03-23,
Assaba,MR02,,,,Mauritania,MR,2017-08-09,2022-03-23,
Brakna,MR03,,,,Mauritania,MR,2017-08-09,2022-03-23,
Dakhlet-Nouadhibou,MR04,,,,Mauritania,MR,2017-08-09,2022-03-23,
Gorgol,MR05,,,,Mauritania,MR,2017-08-09,2022-03-23,
Guidimakha,MR06,,,,Mauritania,MR,2017-08-09,2022-03-23,
Hodh El Chargi,MR07,,,,Mauritania,MR,2017-08-09,2022-03-23,
Hodh El Gharbi,MR08,,,,Mauritania,MR,2017-08-09,2022-03-23,
Inchiri,MR09,,,,Mauritania,MR,2017-08-09,2022-03-23,
Nouakchott,MR10,,,,Mauritania,MR,2017-08-09,2022-03-23,
Tagant,MR11,,,,Mauritania,MR,2017-08-09,2022-03-23,
Trarza,MR12,,,,Mauritania,MR,2017-08-09,2022-03-23,
Tris-Zemmour,MR13,,,,Mauritania,MR,2017-08-09,2022-03-23,
