#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Black River,MU19,,,,Mauritius,MU,2020-08-09,2020-08-09,
Flacq,MU14,,,,Mauritius,MU,2020-08-09,2020-08-09,
Grand Port,MU15,,,,Mauritius,MU,2020-08-09,2020-08-09,
Moka,MU18,,,,Mauritius,MU,2020-08-09,2020-08-09,
Pamplemousses,MU12,,,,Mauritius,MU,2020-08-09,2020-08-09,
Plaine Wilhems,MU17,,,,Mauritius,MU,2020-08-09,2020-08-09,
Port Louis,MU11,,,,Mauritius,MU,2020-08-09,2020-08-09,
Riviere du Rempart,MU13,,,,Mauritius,MU,2020-08-09,2020-08-09,
Savanne,MU16,,,,Mauritius,MU,2020-08-09,2020-08-09,
Saint Brandon Islands,MU23,,,,Mauritius,MU,2020-08-09,2020-08-09,
Rodriguez Island,MU21,,,,Mauritius,MU,2020-08-09,2020-08-09,
North Islands,MU22,,,,Mauritius,MU,2020-08-09,2020-08-09,
