#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Nueva Segovia,NI05,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Jinotega,NI10,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Madriz,NI20,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Estelí,NI25,Esteli,,,Nicaragua,NI,2017-10-11,2021-09-28,
Chinandega,NI30,,,,Nicaragua,NI,2017-10-11,2021-09-28,
León,NI35,Leon,,,Nicaragua,NI,2017-10-11,2021-09-28,
Matagalpa,NI40,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Boaco,NI50,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Managua,NI55,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Masaya,NI60,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Chontales,NI65,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Granada,NI70,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Carazo,NI75,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Rivas,NI80,,,,Nicaragua,NI,2017-10-11,2021-09-28,
Río San Juan,NI85,Rio San Juan,,,Nicaragua,NI,2017-10-11,2021-09-28,
Región Autónoma Atlántico Norte,NI91,Region Autonoma Atlantico Norte,,,Nicaragua,NI,2017-10-11,2021-09-28,
Región Autónoma Atlántico Sur,NI93,Region Autonoma Atlantico Sur,,,Nicaragua,NI,2017-10-11,2021-09-28,
