#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Abbottabad,PK20101,,,,Abbottabad,PK201,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Bannu,PK20201,,,,Bannu,PK202,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Domel,PK20202,,,,Bannu,PK202,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Alai,PK20301,,,,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Batagram,PK20302,,,,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Chagharzai,PK20401,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Chamla,PK20402,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Daggar,PK20403,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Gagra,PK20404,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Pir Baba/ Gadaizi,PK20405,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Totalai,PK20406,,,,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Charsadda,PK20501,,,,Charsadda,PK205,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tangi,PK20502,,,,Charsadda,PK205,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Chitral,PK20601,,,,Chitral,PK206,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Mastuj,PK20602,,,,Chitral,PK206,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Daraban,PK20701,,,,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Dera Ismail Khan,PK20702,,,,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kulachi,PK20703,,,,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Paharpur,PK20704,,,,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Hangu,PK20801,,,,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Tall,PK20802,,,,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Ghazi,PK20901,,,,Haripur,PK209,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Haripur,PK20902,,,,Haripur,PK209,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Banda Daud Shah,PK21001,,,,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Karak,PK21002,,,,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Takht E Nasrati,PK21003,,,,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Kohat,PK21101,,,,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lachi,PK21102,,,,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Dassu,PK21201,,,,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Palas,PK21202,,,,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Pattan,PK21203,,,,Kohistan,PK212,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Lakki Marwat,PK21301,,,,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Sarai Naurang,PK21302,,,,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Samar Bagh,PK21401,,,,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
Timergara,PK21402,,,,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
