#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bocas del Toro,PA01,,,,Panamá,PA,2020-06-15,2020-07-21,
Chiriquí,PA02,,,,Panamá,PA,2020-06-15,2020-07-21,
Coclé,PA03,,,,Panamá,PA,2020-06-15,2020-07-21,
Colón,PA04,,,,Panamá,PA,2020-06-15,2020-07-21,
Darién,PA05,,,,Panamá,PA,2020-06-15,2020-07-21,
Emberá,PA06,,,,Panamá,PA,2020-06-15,2020-07-21,
Herrera,PA07,,,,Panamá,PA,2020-06-15,2020-07-21,
Kuna Yala,PA08,,,,Panamá,PA,2020-06-15,2020-07-21,
Los Santos,PA09,,,,Panamá,PA,2020-06-15,2020-07-21,
Ngäbe Buglé,PA10,,,,Panamá,PA,2020-06-15,2020-07-21,
Panamá Oeste,PA11,,,,Panamá,PA,2020-06-15,2020-07-21,
Panamá,PA12,,,,Panamá,PA,2020-06-15,2020-07-21,
Veraguas,PA13,,,,Panamá,PA,2020-06-15,2020-07-21,
