#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bocas del Toro,PA0101,Bocas del Toro,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Changuinola,PA0102,Changuinola,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Chiriquí Grande,PA0103,Chiriqui Grande,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2020-07-21,
Alanje,PA0201,Alanje,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Barú,PA0202,Baru,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Boquerón,PA0203,Boqueron,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Boquete,PA0204,Boquete,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Bugaba,PA0205,Bugaba,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
David,PA0206,David,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Dolega,PA0207,Dolega,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Gualaca,PA0208,Gualaca,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Remedios,PA0209,Remedios,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Renacimiento,PA0210,Renacimiento,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Félix,PA0211,San Felix,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
San Lorenzo,PA0212,San Lorenzo,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Tolé,PA0213,Tole,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2020-07-21,
Aguadulce,PA0301,Aguadulce,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Antón,PA0302,Anton,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
La Pintada,PA0303,La Pintada,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Natá,PA0304,Nata,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Olá,PA0305,Ola,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Penonomé,PA0306,Penonome,,,Coclé,PA03,Panamá,PA,2020-06-15,2020-07-21,
Chagres,PA0401,Chagres,,,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Colón,PA0402,Colon,,,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Donoso,PA0403,Donoso,,,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Portobelo,PA0404,Portobelo,,,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Santa Isabel,PA0405,Santa Isabel,,,Colón,PA04,Panamá,PA,2020-06-15,2020-07-21,
Chepigana,PA0501,Chepigana,,,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Pinogana,PA0502,Pinogana,,,Darién,PA05,Panamá,PA,2020-06-15,2020-07-21,
Cémaco,PA0601,Cemaco,,,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Sambú,PA0602,Sambu,,,Emberá,PA06,Panamá,PA,2020-06-15,2020-07-21,
Chitré,PA0701,Chitre,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Las Minas,PA0702,Las Minas,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Los Pozos,PA0703,Los Pozos,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Ocú,PA0704,Ocu,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Parita,PA0705,Parita,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Pesé,PA0706,Pese,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Santa María,PA0707,Santa Maria,,,Herrera,PA07,Panamá,PA,2020-06-15,2020-07-21,
Kuna Yala,PA0801,Kuna Yala,,,Kuna Yala,PA08,Panamá,PA,2020-06-15,2020-07-21,
Guararé,PA0901,Guarare,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Las Tablas,PA0902,Las Tablas,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Los Santos,PA0903,Los Santos,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Macaracas,PA0904,Macaracas,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Pedasí,PA0905,Pedasi,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Pocrí,PA0906,Pocri,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Tonosí,PA0907,Tonosi,,,Los Santos,PA09,Panamá,PA,2020-06-15,2020-07-21,
Besiko,PA1001,Besiko,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Mirono,PA1002,Mirono,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Müna,PA1003,Muna,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Nole Duima,PA1004,Nole Duima,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Ñürüm,PA1005,Nurum,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Kankintú,PA1006,Kankintu,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Kusapín,PA1007,Kusapin,,,Ngäbe Buglé,PA10,Panamá,PA,2020-06-15,2020-07-21,
Arraiján,PA1101,Arraijan,,,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2020-07-21,
Capira,PA1102,Capira,,,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2020-07-21,
Chame,PA1103,Chame,,,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2020-07-21,
La Chorrera,PA1104,La Chorrera,,,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2020-07-21,
San Carlos,PA1105,San Carlos,,,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2020-07-21,
Balboa,PA1201,Balboa,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
Chepo,PA1202,Chepo,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
Chimán,PA1203,Chiman,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
Panamá,PA1204,Panama,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
San Miguelito,PA1205,San Miguelito,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
Taboga,PA1206,Taboga,,,Panamá,PA12,Panamá,PA,2020-06-15,2020-07-21,
Atalaya,PA1301,Atalaya,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Calobre,PA1302,Calobre,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Cañazas,PA1303,Canazas,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
La Mesa,PA1304,La Mesa,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Las Palmas,PA1305,Las Palmas,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Mariato,PA1306,Mariato,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Montijo,PA1307,Montijo,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Río De Jesús,PA1308,Rio De Jesus,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
San Francisco,PA1309,San Francisco,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Santa Fe,PA1310,Santa Fe,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Santiago,PA1311,Santiago,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
Soná,PA1312,Sona,,,Veraguas,PA13,Panamá,PA,2020-06-15,2020-07-21,
