#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Region I,PH010000000,,Ilocos Region,,Philippines (the),PH,2018-02-09,2021-12-24,
Region II,PH020000000,,Cagayan Valley,,Philippines (the),PH,2018-02-09,2021-12-24,
Region III,PH030000000,,Central Luzon,,Philippines (the),PH,2018-02-09,2021-12-24,
Region IV-A,PH040000000,,Calabarzon,,Philippines (the),PH,2018-02-09,2021-12-24,
Region V,PH050000000,,Bicol Region,,Philippines (the),PH,2018-02-09,2021-12-24,
Region VI,PH060000000,,Western Visayas,,Philippines (the),PH,2018-02-09,2021-12-24,
Region VII,PH070000000,,Central Visayas,,Philippines (the),PH,2018-02-09,2021-12-24,
Region VIII,PH080000000,,Eastern Visayas,,Philippines (the),PH,2018-02-09,2021-12-24,
Region IX,PH090000000,,Zamboanga Peninsula,,Philippines (the),PH,2018-02-09,2021-12-24,
Region X,PH100000000,,Northern Mindanao,,Philippines (the),PH,2018-02-09,2021-12-24,
Region XI,PH110000000,,Davao Region,,Philippines (the),PH,2018-02-09,2021-12-24,
Region XII,PH120000000,,Soccsksargen,,Philippines (the),PH,2018-02-09,2021-12-24,
National Capital Region,PH130000000,,NCR,,Philippines (the),PH,2018-02-09,2021-12-24,
Cordillera Administrative Region,PH140000000,,CAR,,Philippines (the),PH,2018-02-09,2021-12-24,
Autonomous Region in Muslim Mindanao,PH150000000,,ARMM,,Philippines (the),PH,2018-02-09,2021-12-24,
Region XIII,PH160000000,,Caraga,,Philippines (the),PH,2018-02-09,2021-12-24,
Region IV-B,PH170000000,,Mimaropa,,Philippines (the),PH,2018-02-09,2021-12-24,
