#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Dakar,SN0101,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Guediawaye,SN0102,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Pikine,SN0103,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Rufisque,SN0104,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
Bambey,SN0201,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Diourbel,SN0202,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Mbacke,SN0203,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
Fatick,SN0301,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Foundiougne,SN0302,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Gossas,SN0303,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
Birkelane,SN0401,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Kaffrine,SN0402,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Koungheul,SN0403,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Malem Hodar,SN0404,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
Guinguineo,SN0501,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
Kaolack,SN0502,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
Nioro Du Rip,SN0503,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
Kedougou,SN0601,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
Salemata,SN0602,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
Saraya,SN0603,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
Kolda,SN0701,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
Medina Yoroufoula,SN0702,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
Velingara,SN0703,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
Kebemer,SN0801,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
Linguere,SN0802,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
Louga,SN0803,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
Kanel,SN0901,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
Matam,SN0902,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
Ranerou,SN0903,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
Dagana,SN1001,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
Podor,SN1002,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
Saint Louis,SN1003,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
Bounkiling,SN1101,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
Goudomp,SN1102,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
Sedhiou,SN1103,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
Bakel,SN1201,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
Goudiry,SN1202,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
Koumpentoum,SN1203,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
Tambacounda,SN1204,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
Mbour,SN1301,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
Thies,SN1302,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
Tivaoune,SN1303,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
Bignona,SN1401,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
Oussouye,SN1402,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
Ziguinchor,SN1403,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
