#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Baiwalla,SL01010101,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dodo,SL01010102,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sakiema,SL01010103,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sienga,SL01010104,,,Dea,SL010101,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bobor,SL01010201,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kaio,SL01010202,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Giebu,SL01010203,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lower Luyengeh,SL01010204,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Mano,SL01010205,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sowa,SL01010206,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Giebu,SL01010207,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Upper Luyengeh,SL01010208,,,Jawie,SL010102,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dakaleley,SL01010301,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kama Teng,SL01010302,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kama Toh,SL01010303,,,Kissi Kama,SL010103,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bumasadu,SL01010401,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Konio,SL01010402,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kundu,SL01010403,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Lela,SL01010404,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Torli,SL01010405,,,Kissi Teng,SL010104,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bende Bengu,SL01010501,,,Kissi Tongi,SL010105,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
