#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ahuachapán,SV01,,,,El Salvador,SV,2020-05-29,2021-02-04,
Cabañas,SV02,,,,El Salvador,SV,2020-05-29,2021-02-04,
Chalatenango,SV03,,,,El Salvador,SV,2020-05-29,2021-02-04,
Cuscatlán,SV04,,,,El Salvador,SV,2020-05-29,2021-02-04,
La Libertad,SV05,,,,El Salvador,SV,2020-05-29,2021-02-04,
La Paz,SV06,,,,El Salvador,SV,2020-05-29,2021-02-04,
La Unión,SV07,,,,El Salvador,SV,2020-05-29,2021-02-04,
Morazán,SV08,,,,El Salvador,SV,2020-05-29,2021-02-04,
San Miguel,SV09,,,,El Salvador,SV,2020-05-29,2021-02-04,
San Salvador,SV10,,,,El Salvador,SV,2020-05-29,2021-02-04,
San Vicente,SV11,,,,El Salvador,SV,2020-05-29,2021-02-04,
Santa Ana,SV12,,,,El Salvador,SV,2020-05-29,2021-02-04,
Sonsonate,SV13,,,,El Salvador,SV,2020-05-29,2021-02-04,
Usulután,SV14,,,,El Salvador,SV,2020-05-29,2021-02-04,
