#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ainaro,TL0101,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Hatu-Builico,TL0102,,Hato-Builico,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Maubisse,TL0103,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Hatu-Udo,TL0104,,Hato-Udo,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
Aileu Vila,TL0201,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Liquidoe,TL0202,,Lequidoe,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Remexio,TL0203,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Laulara,TL0204,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
Baucau,TL0301,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Laga,TL0302,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Quelicai,TL0303,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Baguia,TL0304,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Vemasse,TL0305,,Vemase,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Venilale,TL0306,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
Maliana,TL0401,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Cailaco,TL0402,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Balibo,TL0403,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Atabae,TL0404,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Lolotoe,TL0405,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Bobonaro,TL0406,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatululic,TL0501,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatumean,TL0502,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Forohem,TL0503,,Fohorem,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Maukatar,TL0504,,Maucatar,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Suai,TL0505,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Tilomar,TL0506,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Zumalai,TL0507,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
Vera Cruz,TL0601,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Nain Feto,TL0602,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Metinaro,TL0603,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Atauro,TL0604,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Dom Aleixo,TL0605,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Cristo Rei,TL0606,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
Railaco,TL0701,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-16,
Ermera,TL0702,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-16,
Letefoho,TL0703,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-16,
Atsabe,TL0704,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-16,
Hatolia,TL0705,,Hatulia,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-16,
Bazartete,TL0801,,,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-16,
Liquiçá,TL0802,Liquica,Liquiça,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-16,
Maubara,TL0803,,,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-16,
Lospalos,TL0901,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-16,
Lautém,TL0902,Lautem,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-16,
Iliomar,TL0903,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-16,
Luro,TL0904,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-16,
Tutuala,TL0905,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-16,
Same,TL1001,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-16,
Alas,TL1002,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-16,
Fatuberliu,TL1003,,Fatuberlio,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-16,
Turiscai,TL1004,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-16,
Manatuto,TL1101,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Laleia,TL1102,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Laclo,TL1103,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Soibada,TL1104,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Barique/Natarbora,TL1105,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Laclubar,TL1106,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-16,
Pante Macassar,TL1201,,Pante Macasar,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-16,
Nitibe,TL1202,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-16,
Oesilo,TL1203,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-16,
Passabe,TL1204,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-16,
Uatucarbau,TL1301,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-16,
Ossu,TL1302,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-16,
Uato-Lari,TL1303,,Watulari,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-16,
Viqueque,TL1304,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-16,
Lacluta,TL1305,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-16,
